,net-snmp.csv,fontforge.csv,k3d.csv,patterntesting.csv,massiv.csv,t-2.csv,xreal.csv
fontforge.csv,0.29,1.0,0.2,0.13,0.75,0.51,0.8
k3d.csv,0.15,0.12,1.0,0.0,0.25,0.0,0.4
massiv.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0
net-snmp.csv,0.95,0.88,0.57,0.53,0.75,0.62,0.2
patterntesting.csv,0.73,0.75,0.73,0.93,1.0,0.6,1.0
t-2.csv,0.0,0.17,0.2,0.17,0.75,0.95,0.8
xreal.csv,0.02,0.21,0.17,0.0,0.0,0.0,1.0
