,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.7,0.68,0.82,0.89,0.93,0.81,0.86,0.62,0.35,1.0,0.71,0.84,0.02,0.66,0.65,0.55,0.72
amygdala.csv,0.59,0.69,0.76,0.9,0.87,0.68,0.56,0.85,0.75,0.68,0.82,0.0,0.86,0.59,0.76,0.68,0.73
awemud.csv,0.0,0.65,0.77,0.89,0.62,0.75,0.65,0.66,0.37,1.01,0.69,0.64,0.69,0.57,0.77,0.53,0.73
bullet.csv,0.75,0.84,0.6,0.76,0.53,0.0,0.71,0.6,0.87,0.98,0.6,0.81,0.81,0.75,0.91,0.81,0.96
customwars.csv,0.99,0.85,0.88,0.89,0.83,0.91,1.0,0.65,1.0,1.0,0.06,1.01,0.51,0.84,0.96,0.55,0.7
dvd-create.csv,0.79,0.55,0.67,0.63,0.0,0.64,0.56,0.77,0.81,0.68,0.73,0.6,0.84,0.59,0.8,0.77,0.8
gbif-indexingtoolkit.csv,0.85,0.83,0.69,0.69,0.86,0.96,0.89,0.36,0.68,1.0,0.79,1.0,0.97,0.91,0.88,0.8,0.58
go.csv,0.67,0.03,0.78,0.83,0.52,0.7,0.63,0.61,0.89,0.81,0.61,0.69,0.74,0.59,0.83,0.71,0.47
growl-for-windows.csv,0.45,0.54,0.66,0.84,0.6,0.7,0.58,0.79,0.28,0.74,0.52,0.62,0.43,0.72,0.49,0.03,0.5
kwave.csv,0.66,0.72,0.06,0.53,0.47,0.86,0.54,0.7,0.77,0.95,0.71,0.78,0.84,0.58,0.64,0.81,0.95
libarchive.csv,0.56,0.32,0.51,0.37,0.71,0.48,0.5,0.82,0.36,0.78,0.8,0.64,0.42,0.52,0.57,0.54,0.04
linux-ntfs.csv,0.73,0.69,0.77,0.62,0.6,0.61,0.64,0.62,0.51,0.81,0.52,0.72,0.51,0.68,0.04,0.9,0.63
lsb.csv,0.69,0.66,0.79,0.0,0.57,0.66,0.53,0.86,0.62,1.0,0.87,0.82,0.64,0.67,0.59,0.96,0.41
mpgravity.csv,0.67,0.75,0.76,0.55,0.84,0.77,0.49,0.54,0.87,0.0,0.62,0.72,0.51,0.76,0.75,0.5,0.63
qcad2.csv,0.6,0.85,0.52,0.62,1.02,0.82,0.03,0.86,0.87,0.75,0.68,0.86,0.89,0.67,0.79,0.71,0.93
qtwin.csv,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
roller.csv,0.64,0.53,0.58,0.99,0.61,0.57,0.63,0.74,0.73,0.69,0.59,0.5,0.53,0.01,0.76,0.72,0.64
