,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.0,1.0,1.0,4.0,1.0,1.0,0.0,6.0,117.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
amygdala.csv,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,550.0,0.0,14.0,0.0,10.0,0.0,0.0,0.0,1.0
awemud.csv,0.0,4.0,0.0,1.0,0.0,2.0,18.0,4.0,454.0,52.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0
bullet.csv,1.0,4.0,0.0,0.0,2.0,0.0,10.0,2.0,1385.0,2.0,4.0,1.0,1.0,1.0,0.0,2.0,6.0
customwars.csv,0.0,2.0,2.0,4.0,0.0,1.0,144.0,0.0,2488.0,52.0,0.0,72.0,27.0,0.0,0.0,0.0,1.0
dvd-create.csv,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1466.0,4.0,9.0,0.0,16.0,0.0,2.0,1.0,4.0
gbif-indexingtoolkit.csv,0.0,3.0,0.0,41.0,0.0,0.0,17.0,0.0,311.0,52.0,12.0,72.0,5.0,0.0,0.0,0.0,1.0
go.csv,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1090.0,7.0,5.0,5.0,49.0,8.0,0.0,0.0,2.0
growl-for-windows.csv,1.0,2.0,1.0,18.0,1.0,1.0,6.0,3.0,132.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0
kwave.csv,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,812.0,6.0,3.0,6.0,12.0,0.0,0.0,0.0,4.0
libarchive.csv,0.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,324.0,0.0,15.0,0.0,17.0,0.0,0.0,0.0,0.0
linux-ntfs.csv,1.0,3.0,9.0,2.0,0.0,0.0,5.0,1.0,76.0,1.0,4.0,2.0,30.0,5.0,0.0,1.0,4.0
lsb.csv,0.0,2.0,0.0,0.0,0.0,2.0,5.0,2.0,995.0,52.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0
mpgravity.csv,4.0,3.0,0.0,24.0,0.0,0.0,6.0,1.0,1473.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,6.0
qcad2.csv,0.0,2.0,0.0,3.0,0.0,2.0,0.0,11.0,1087.0,5.0,1.0,5.0,28.0,0.0,3.0,0.0,9.0
qtwin.csv,0.0,123.0,71.0,181.0,91.0,87.0,144.0,60.0,0.0,52.0,111.0,72.0,367.0,125.0,54.0,53.0,116.0
roller.csv,4.0,1.0,0.0,25.0,4.0,0.0,18.0,9.0,1271.0,0.0,4.0,4.0,20.0,0.0,1.0,0.0,6.0
