,recall,precision,pf,pci_20,ifa,wins
abbot.csv,0.88,0.41,0.77,0.42,2.0,193
acdk.csv,0.33,0.575,0.15,0.6,1.0,608
acegisecurity.csv,0.61,0.45,0.46,0.49,2.0,414
adaptagrams.csv,0.31,0.5,0.18,0.64,1.0,579
adonthell.csv,0.52,0.39,0.49,0.5,2.0,163
agilitybook.csv,0.41,0.45,0.33,0.6,1.0,478
aime.csv,0.21,0.36,0.2,0.81,3.0,469
alembik.csv,0.21,0.56,0.1,0.705,1.0,610
algebsql.csv,0.38,0.33,0.5,0.76,2.0,202
all-plasm.csv,0.33,0.45,0.26,0.75,2.0,570
alleg.csv,0.44,0.415,0.35,0.54,2.0,332
alpine.csv,0.74,0.42,0.62,0.43,2.0,234
alsa.csv,0.67,0.44,0.49,0.45,2.0,377
amanda.csv,0.59,0.46,0.46,0.52,2.0,446
amateur-scrolls.csv,0.26,0.4,0.18,0.72,2.0,502
ambulant.csv,0.585,0.4,0.55,0.56,2.0,258
amygdala.csv,0.39,0.4,0.34,0.62,1.0,379
anaxagora.csv,0.63,0.44,0.48,0.42,2.0,300
apertium.csv,0.2,0.4,0.14,0.56,2.0,294
apolloplayer.csv,0.57,0.4,0.48,0.5,2.0,249
applet2app.csv,0.57,0.5,0.34,0.46,1.0,532
arcallians.csv,0.7,0.43,0.58,0.48,2.0,320
archive-crawler.csv,0.34,0.49,0.21,0.71,1.0,591
arianne.csv,0.95,0.38,0.93,0.41,2.0,54
arm-webradio.csv,0.39,0.4,0.38,0.625,2.0,318
array4j.csv,0.29,0.34,0.33,0.63,3.0,148
arsenal-1.csv,0.09,0.42,0.07,0.8,1.0,555
atlc.csv,0.65,0.38,0.62,0.52,2.0,170
atomsite.csv,0.72,0.44,0.56,0.4,1.0,297
atunes.csv,0.67,0.43,0.52,0.43,2.0,287
aubit4gl.csv,0.16,0.38,0.16,0.83,2.0,510
aufs.csv,0.4,0.38,0.34,0.64,2.0,362
autat.csv,0.39,0.485,0.24,0.6,1.0,562
autofac.csv,0.61,0.45,0.46,0.43,1.0,343
autoopencas.csv,0.27,0.29,0.4,0.8,3.0,156
autowikibrowser.csv,0.64,0.46,0.46,0.37,1.0,319
avifile.csv,0.44,0.35,0.52,0.67,2.0,176
avisynth2.csv,0.02,0.25,0.02,0.67,4.0,78
awemud.csv,0.55,0.5,0.34,0.44,1.0,500
aztec.csv,0.41,0.5,0.245,0.585,1.0,574
azureus.csv,0.82,0.4,0.74,0.4,2.0,125
baadengine.csv,0.96,0.405,0.9,0.39,2.0,102
bacnet.csv,0.46,0.45,0.33,0.56,2.0,476
bacula.csv,0.645,0.44,0.49,0.5,2.0,412
badtrinity-zero.csv,0.44,0.45,0.33,0.56,1.5,459
badtrinitycore.csv,0.3,0.44,0.21,0.61,2.0,472
barracudamvc.csv,0.93,0.36,0.97,0.42,2.0,16
bdbbasic.csv,0.46,0.39,0.38,0.5,2.0,220
beast-mcmc.csv,0.695,0.46,0.52,0.44,1.0,409
benojt.csv,1.0,0.38,1.0,0.39,2.0,24
betoffice.csv,0.71,0.33,0.83,0.51,2.0,12
bibedt.csv,0.6,0.46,0.42,0.5,1.0,485
bibletime.csv,0.68,0.43,0.51,0.41,2.0,282
bigdata.csv,0.53,0.41,0.445,0.52,2.0,290
biodwh.csv,0.27,0.52,0.14,0.69,1.0,599
biopax.csv,0.975,0.4,0.94,0.4,2.0,86
bl-toolkit.csv,0.72,0.38,0.74,0.46,2.0,65
blogentis.csv,0.47,0.38,0.53,0.59,2.0,155
bloodycore.csv,0.14,0.38,0.135,0.86,2.0,538
blue-c.csv,0.76,0.43,0.63,0.48,2.0,331
bnetd.csv,0.76,0.39,0.69,0.42,2.0,115
bochs.csv,0.73,0.38,0.64,0.45,2.0,152
boost-sandbox.csv,0.49,0.36,0.54,0.575,2.0,116
boost.csv,0.62,0.47,0.42,0.47,2.0,479
botsnscouts.csv,0.62,0.475,0.42,0.4,1.0,418
brlcad.csv,0.29,0.455,0.2,0.7,1.5,561
bscwweasel.csv,0.3,0.44,0.22,0.71,2.0,544
buddata-ebxml-registry.csv,0.97,0.39,0.94,0.39,2.0,59
bullet.csv,0.53,0.38,0.54,0.515,2.0,126
bulmages.csv,0.15,0.31,0.11,0.67,3.0,224
bwapi.csv,0.97,0.39,0.97,0.41,2.0,49
bzbyte.csv,0.47,0.19,0.495,0.37,8.0,7
calcubetimer.csv,0.675,0.39,0.63,0.46,2.0,144
capcode.csv,0.54,0.38,0.545,0.59,2.0,215
carabiner.csv,0.64,0.45,0.48,0.38,1.0,286
cascading.csv,0.71,0.43,0.52,0.43,2.0,336
chaosrts.csv,0.62,0.41,0.52,0.49,2.0,265
chaperon.csv,0.38,0.36,0.4,0.635,2.0,217
checker-framework.csv,0.82,0.4,0.77,0.44,2.0,142
chipster.csv,0.17,0.36,0.16,0.69,3.0,311
chrysalis.csv,0.59,0.48,0.4,0.43,1.0,455
cities3d.csv,0.32,0.415,0.235,0.58,2.0,387
clamav.csv,0.715,0.44,0.55,0.405,2.0,298
cleartk.csv,0.78,0.39,0.74,0.46,2.0,136
cme.csv,0.0,0.0,0.01,0.0,59.0,3
co-ode-owl-plugins.csv,0.57,0.41,0.5,0.55,2.0,312
codeblocks.csv,0.47,0.485,0.31,0.49,1.0,492
codepurge.csv,0.5,0.44,0.385,0.48,2.0,333
codesmith.csv,0.66,0.36,0.69,0.51,2.0,76
columba.csv,0.6,0.47,0.415,0.39,1.0,376
continuum-ide.csv,0.21,0.4,0.18,0.8,2.0,530
coot.csv,0.42,0.3,0.41,0.55,3.0,53
cornerstone.csv,0.26,0.51,0.12,0.62,1.0,581
cortex-vfx.csv,0.42,0.5,0.26,0.58,1.0,568
crisscross.csv,0.94,0.39,0.9,0.42,2.0,94
critterding.csv,0.9,0.38,0.88,0.43,2.0,71
