,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,1.0,0.94,0.07,0.1,0.58,0.24,0.71,0.26,0.96,0.43,0.21
gdis.csv,0.84,0.51,0.14,0.1,0.39,0.12,0.53,0.18,0.96,0.17,0.15
genoviz.csv,1.0,1.0,0.33,0.07,0.62,0.4,1.0,0.75,0.8,0.3,0.56
kml.csv,0.74,0.47,0.12,0.07,0.34,0.14,0.82,0.24,0.9,0.12,0.1
omseek.csv,1.0,0.83,0.0,0.08,0.49,0.28,1.0,0.5,1.0,0.14,0.25
ossbuild.csv,0.83,0.62,0.32,0.08,0.49,0.19,0.57,0.37,0.9,0.25,0.11
popeye-chess.csv,0.87,0.72,0.08,0.1,0.48,0.19,0.85,0.28,0.94,0.21,0.17
quarkplayer.csv,0.53,0.43,0.09,0.15,0.3,0.06,0.38,0.1,0.88,0.19,0.0
turbotrader-bos.csv,0.9,0.79,0.07,0.08,0.58,0.21,0.7,0.27,0.92,0.18,0.12
virtuoso.csv,0.61,0.72,0.14,0.06,0.35,0.12,0.48,0.47,0.81,0.14,0.1
zscreen.csv,0.86,0.58,0.15,0.07,0.37,0.18,0.92,0.44,0.88,0.18,0.19
