,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,tango-cs.csv,nativeclient.csv
bacula.csv,0.62,0.15,0.6,0.68,0.33,0.44,0.78,0.69,0.49,0.53,0.72,0.63,0.53,0.29,0.65,0.22,0.83,0.5,0.56,0.74
decidr.csv,0.57,0.19,0.56,0.68,0.27,0.42,0.73,0.8,0.45,0.52,0.76,0.7,0.65,0.41,0.67,0.22,0.75,0.41,0.49,0.74
elmo.csv,0.37,0.23,0.08,0.36,0.4,0.25,0.28,0.14,0.27,0.17,0.33,0.03,0.24,0.0,0.0,0.26,0.2,0.08,0.22,0.27
gpac.csv,0.19,0.13,0.55,0.63,0.3,0.41,0.77,0.8,0.34,0.53,0.71,0.67,0.65,0.42,0.64,0.22,0.74,0.41,0.39,0.71
img-browse-sort.csv,0.72,0.12,0.62,0.71,0.4,0.43,0.74,0.67,0.59,0.56,0.66,0.6,0.51,0.39,0.68,0.31,0.85,0.61,0.48,0.44
jajuk.csv,0.62,0.12,0.56,0.79,0.34,0.44,0.63,0.78,0.51,0.54,0.71,0.66,0.68,0.42,0.63,0.24,0.73,0.45,0.56,0.66
ktc.csv,0.72,0.19,0.61,0.7,0.39,0.46,0.22,0.72,0.59,0.45,0.62,0.57,0.56,0.28,0.37,0.3,0.66,0.44,0.51,0.55
nativeclient.csv,0.7,0.11,0.61,0.7,0.36,0.42,0.72,0.67,0.59,0.39,0.65,0.57,0.55,0.43,0.59,0.25,0.83,0.52,0.49,0.7
neoengine.csv,0.55,0.13,0.6,0.7,0.4,0.42,0.7,0.79,0.35,0.59,0.71,0.72,0.7,0.49,0.34,0.23,0.69,0.5,0.46,0.74
nicepress.csv,0.55,0.17,0.56,0.61,0.35,0.37,0.52,0.78,0.57,0.68,0.71,0.65,0.65,0.4,0.62,0.28,0.71,0.42,0.43,0.62
omseek.csv,0.44,0.0,0.24,0.59,0.51,0.21,0.04,0.48,0.35,0.1,0.3,0.07,0.2,0.35,0.3,0.41,0.7,0.38,0.42,0.32
rosegarden.csv,0.7,0.19,0.57,0.7,0.27,0.4,0.38,0.7,0.62,0.51,0.6,0.63,0.49,0.25,0.49,0.26,0.78,0.47,0.52,0.69
sigil.csv,0.69,0.1,0.6,0.63,0.36,0.48,0.69,0.42,0.51,0.43,0.55,0.25,0.31,0.42,0.65,0.28,0.83,0.53,0.47,0.34
smarttag.csv,0.56,0.16,0.57,0.48,0.24,0.4,0.6,0.24,0.46,0.55,0.4,0.37,0.26,0.53,0.6,0.24,0.68,0.36,0.45,0.31
sylpheed-claws.csv,0.59,0.13,0.55,0.65,0.26,0.41,0.73,0.67,0.44,0.51,0.71,0.69,0.68,0.41,0.63,0.2,0.74,0.38,0.59,0.74
tango-cs.csv,0.57,0.18,0.55,0.49,0.27,0.41,0.5,0.22,0.46,0.56,0.67,0.51,0.49,0.27,0.59,0.23,0.65,0.34,0.52,0.51
vapor.csv,0.0,0.13,0.62,0.63,0.25,0.51,0.77,0.79,0.0,0.51,0.75,0.0,0.0,0.42,0.64,0.25,0.74,0.39,0.0,0.51
xemeiah.csv,0.6,0.14,0.57,0.59,0.44,0.36,0.5,0.69,0.47,0.55,0.73,0.6,0.68,0.41,0.74,0.3,0.75,0.4,0.55,0.34
zorannt.csv,0.52,0.18,0.36,0.69,0.48,0.37,0.69,0.62,0.4,0.42,0.54,0.7,0.62,0.36,0.53,0.27,0.66,0.51,0.48,0.5
zscreen.csv,0.64,0.17,0.59,0.63,0.32,0.52,0.8,0.15,0.52,0.52,0.65,0.27,0.23,0.32,0.63,0.31,0.76,0.38,0.49,0.33
