,f1,g,recall,precision,pf,wins
bacula.csv,0.5800000000000001,0.635,0.795,0.51,0.56,14
decidr.csv,0.565,0.45,0.94,0.44999999999999996,0.8500000000000001,5
elmo.csv,0.235,0.2,0.16999999999999998,0.42,0.11499999999999999,0
gpac.csv,0.54,0.22499999999999998,0.96,0.42500000000000004,0.915,3
img-browse-sort.csv,0.595,0.635,0.63,0.63,0.295,19
jajuk.csv,0.5900000000000001,0.66,0.775,0.485,0.555,13
ktc.csv,0.53,0.565,0.565,0.59,0.255,16
nativeclient.csv,0.58,0.63,0.665,0.565,0.42,17
neoengine.csv,0.5700000000000001,0.635,0.745,0.57,0.42,18
nicepress.csv,0.565,0.5700000000000001,0.715,0.51,0.435,12
omseek.csv,0.33499999999999996,0.25,0.21000000000000002,0.685,0.07500000000000001,4
rosegarden.csv,0.515,0.605,0.645,0.55,0.43,10
sigil.csv,0.475,0.5800000000000001,0.585,0.56,0.29500000000000004,11
smarttag.csv,0.42500000000000004,0.52,0.515,0.51,0.28500000000000003,6
sylpheed-claws.csv,0.59,0.16999999999999998,0.975,0.425,0.96,2
tango-cs.csv,0.495,0.52,0.52,0.515,0.355,7
vapor.csv,0.46499999999999997,0.025,0.845,0.30000000000000004,0.5700000000000001,1
xemeiah.csv,0.55,0.5700000000000001,0.7,0.45499999999999996,0.47,8
zorannt.csv,0.505,0.55,0.52,0.53,0.28,9
zscreen.csv,0.505,0.62,0.705,0.52,0.385,15
