,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,tango-cs.csv,nativeclient.csv
bacula.csv,14.0,8.0,4.0,3.0,7.0,4.0,0.0,1.0,3.0,11.0,7.0,0.0,1.0,2.0,1.0,45.0,3.0,0.0,0.0,0.0
decidr.csv,3.0,4.0,3.0,12.0,37.0,4.0,1.0,2.0,5.0,14.0,1.0,0.0,3.0,2.0,1.0,59.0,6.0,0.0,0.0,0.0
elmo.csv,0.0,2.0,0.0,0.0,2.0,7.0,0.0,1.0,6.0,7.0,1.0,0.0,1.0,52.0,144.0,5.0,1.0,2.0,4.0,0.0
gpac.csv,2.0,8.0,3.0,0.0,7.0,5.0,0.0,2.0,1.0,13.0,0.0,0.0,3.0,4.0,1.0,71.0,9.0,5.0,5.0,0.0
img-browse-sort.csv,2.0,18.0,1.0,1.0,3.0,6.0,0.0,2.0,0.0,6.0,6.0,0.0,1.0,7.0,1.0,7.0,0.0,1.0,0.0,0.0
jajuk.csv,7.0,16.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,9.0,0.0,0.0,2.0,4.0,1.0,5.0,0.0,3.0,0.0,0.0
ktc.csv,3.0,5.0,1.0,3.0,8.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,4.0,4.0,0.0,2.0,2.0,1.0
nativeclient.csv,3.0,21.0,1.0,3.0,5.0,5.0,0.0,3.0,2.0,4.0,11.0,0.0,1.0,1.0,1.0,47.0,2.0,0.0,0.0,0.0
neoengine.csv,9.0,8.0,0.0,4.0,8.0,4.0,0.0,2.0,7.0,4.0,0.0,0.0,1.0,0.0,9.0,44.0,1.0,0.0,1.0,0.0
nicepress.csv,10.0,4.0,2.0,8.0,8.0,7.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,11.0,10.0,0.0,5.0,0.0
omseek.csv,7.0,71.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,6.0,1.0,5.0,0.0,2.0,0.0,0.0
rosegarden.csv,9.0,2.0,3.0,4.0,12.0,11.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,25.0,7.0,2.0,0.0,0.0
sigil.csv,2.0,9.0,0.0,4.0,5.0,4.0,0.0,2.0,0.0,2.0,14.0,0.0,0.0,4.0,1.0,9.0,0.0,1.0,0.0,0.0
smarttag.csv,5.0,12.0,0.0,18.0,26.0,1.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,1.0,23.0,1.0,9.0,0.0,1.0
sylpheed-claws.csv,16.0,8.0,3.0,2.0,23.0,5.0,2.0,2.0,10.0,16.0,9.0,0.0,1.0,2.0,1.0,98.0,9.0,6.0,0.0,0.0
tango-cs.csv,6.0,2.0,2.0,5.0,23.0,5.0,0.0,0.0,6.0,7.0,5.0,0.0,3.0,3.0,2.0,20.0,3.0,5.0,0.0,1.0
vapor.csv,284.0,8.0,4.0,1.0,27.0,6.0,0.0,3.0,360.0,16.0,3.0,102.0,232.0,4.0,1.0,40.0,9.0,0.0,113.0,0.0
xemeiah.csv,5.0,2.0,2.0,8.0,9.0,4.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,3.0,0.0,1.0
zorannt.csv,4.0,2.0,1.0,1.0,2.0,6.0,0.0,0.0,8.0,7.0,6.0,0.0,0.0,5.0,2.0,12.0,0.0,0.0,0.0,1.0
zscreen.csv,5.0,2.0,3.0,0.0,7.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,2.0,21.0,2.0,5.0,0.0,0.0
