,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.64,0.68,0.61,0.76,0.79,0.68,0.62,0.52,0.89,0.63,0.5,0.81,0.74,0.57,0.55,0.41
bdbbasic.csv,0.4,0.48,0.4,0.42,0.42,0.32,0.53,0.51,0.67,0.31,0.47,0.43,0.49,0.43,0.38,0.4
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
echongl.csv,0.52,0.94,0.67,0.5,0.51,0.63,0.61,0.75,0.45,0.36,0.66,0.58,0.56,0.53,0.84,0.83
etherboot.csv,0.51,0.44,0.8,0.81,0.82,0.61,0.57,0.67,0.57,0.58,0.54,0.61,0.61,0.46,0.54,0.69
freebios.csv,0.66,0.95,0.76,0.71,0.58,0.48,0.61,0.8,0.68,0.6,0.49,0.66,0.77,0.64,0.67,0.8
gebr.csv,0.39,0.35,0.41,0.44,0.45,0.43,0.38,0.45,0.4,0.3,0.34,0.44,0.48,0.36,0.4,0.37
glelite.csv,0.42,0.39,0.39,0.45,0.41,0.5,0.41,0.46,0.4,0.3,0.33,0.45,0.49,0.38,0.42,0.41
gnukeda.csv,0.46,0.54,0.46,0.61,0.48,0.31,0.64,0.48,0.57,0.4,0.45,0.46,0.56,0.43,0.42,0.43
google-gears.csv,0.49,0.52,0.41,0.49,0.46,0.5,0.43,0.5,0.43,0.33,0.46,0.49,0.53,0.38,0.41,0.42
gstreamer.csv,0.47,0.62,0.5,0.56,0.54,0.39,0.61,0.44,0.42,0.35,0.53,0.49,0.57,0.45,0.38,0.36
jnode.csv,0.93,0.56,0.94,0.94,0.94,0.0,0.78,0.83,0.67,0.67,0.93,0.96,0.0,0.99,0.0,0.93
metacosm.csv,0.65,0.92,0.67,0.92,0.86,0.46,0.63,0.62,0.62,0.41,0.66,0.52,0.7,0.46,0.61,0.54
openmeetings.csv,0.62,0.96,0.71,0.72,0.54,0.41,0.83,0.62,0.8,0.57,0.77,0.81,0.79,0.63,0.53,0.53
tradelink.csv,0.8,0.86,0.97,0.75,0.8,0.46,0.93,0.86,0.91,0.47,0.95,0.91,0.86,0.46,0.85,0.73
wxcrp.csv,0.66,0.67,0.63,0.8,0.83,0.0,0.5,0.9,0.5,0.91,0.94,0.83,0.93,0.98,0.66,0.61
