,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.23,0.2,0.31,0.06,0.13,0.0,0.43,0.05,0.08,0.24,0.43,0.08,0.0,0.21,0.33,0.35
bdbbasic.csv,0.37,0.27,0.53,0.25,0.41,0.42,0.35,0.0,0.0,0.74,0.4,0.22,0.0,0.32,0.52,0.23
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echongl.csv,0.63,0.1,0.5,0.59,0.77,0.82,0.49,0.03,0.73,0.0,0.3,0.57,1.0,0.48,0.28,0.32
etherboot.csv,0.68,0.84,0.28,0.19,0.0,0.68,0.73,0.5,0.67,0.66,0.42,0.62,0.33,0.56,0.3,0.52
freebios.csv,0.39,0.11,0.32,0.62,0.54,0.39,0.0,0.63,0.47,0.53,0.57,0.57,0.33,0.57,0.39,0.23
gebr.csv,0.87,0.69,0.78,0.47,0.61,0.81,0.78,0.03,0.69,0.95,0.88,0.7,1.0,0.74,0.84,0.81
glelite.csv,1.0,0.99,0.99,0.97,0.98,1.0,0.88,1.0,1.0,0.95,0.99,0.95,0.0,0.88,0.99,1.0
gnukeda.csv,0.56,0.4,0.51,0.03,0.72,0.51,0.41,0.26,0.18,0.74,0.53,0.43,0.67,0.19,0.66,0.74
google-gears.csv,0.6,0.51,0.58,0.56,0.84,0.89,0.82,0.61,0.84,0.74,0.51,0.0,1.0,0.5,0.66,0.58
gstreamer.csv,0.41,0.22,0.43,0.16,0.33,0.69,0.37,0.13,0.65,0.71,0.39,0.35,0.0,0.02,0.55,0.61
jnode.csv,0.15,0.75,0.0,0.31,0.25,0.0,0.27,0.74,0.06,0.03,0.13,0.24,0.0,0.32,0.01,0.39
metacosm.csv,0.13,0.03,0.23,0.09,0.16,0.29,0.25,0.03,0.14,0.47,0.27,0.22,0.0,0.37,0.25,0.0
openmeetings.csv,0.17,0.01,0.24,0.12,0.26,0.3,0.27,0.03,0.04,0.42,0.19,0.08,0.0,0.1,0.28,0.16
tradelink.csv,0.15,0.02,0.08,0.16,0.18,0.6,0.18,0.13,0.08,0.66,0.0,0.14,0.67,0.28,0.23,0.06
wxcrp.csv,0.01,0.54,0.59,0.03,0.08,0.01,0.02,0.0,0.02,0.11,0.16,0.11,0.0,0.07,0.57,0.68
