,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.51,0.92,0.53,0.62,0.74,0.55,0.5,0.83,0.9,0.51,0.75,0.91,0.91,0.81,0.86,0.7
amygdala.csv,0.41,0.53,0.49,0.56,0.54,0.5,0.4,0.52,0.52,0.5,0.47,0.65,0.4,0.5,0.76,0.64
cme.csv,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
dspace-gsoc.csv,0.65,0.52,0.72,0.79,0.92,0.6,0.83,0.89,0.58,0.89,0.4,0.55,0.53,0.53,0.71,0.5
hydrate.csv,0.89,0.72,0.67,0.8,0.83,0.67,0.88,0.82,0.83,0.83,0.55,0.45,0.92,0.67,0.41,0.44
ivef-sdk.csv,0.42,0.78,0.59,0.61,0.72,0.6,0.42,0.0,0.51,0.54,0.0,0.0,0.57,0.92,0.0,0.62
jmri.csv,0.53,0.58,0.59,0.53,0.61,0.6,0.43,0.57,0.59,0.46,0.65,0.71,0.89,0.62,0.58,0.48
kdenlive.csv,0.44,0.53,0.61,0.68,0.49,0.51,0.5,0.42,0.51,0.55,0.35,0.45,0.53,0.55,0.5,0.36
motu.csv,0.8,0.99,0.68,0.0,0.5,0.8,0.0,0.77,0.92,0.83,0.86,0.9,0.75,0.71,0.5,0.9
plplot.csv,0.48,0.48,0.5,0.47,0.53,0.69,0.43,0.42,0.47,0.62,0.45,0.47,0.43,0.5,0.35,0.35
projectfactory.csv,0.82,0.98,0.68,0.85,0.76,0.67,0.51,0.55,0.65,0.64,0.65,0.58,0.8,0.56,0.48,0.52
runuomondains.csv,0.9,0.97,0.75,0.74,0.67,0.86,0.9,0.88,0.67,0.8,0.75,0.88,0.0,0.67,0.75,0.86
somap.csv,0.42,0.39,0.39,0.43,0.44,0.51,0.39,0.37,0.38,0.41,0.29,0.43,0.35,0.43,0.37,0.41
taverna.csv,0.87,0.99,0.8,0.75,0.94,0.86,0.92,0.92,0.67,0.92,0.93,0.75,0.92,0.9,0.0,0.93
tigermud.csv,0.54,0.52,0.48,0.63,0.46,0.65,0.61,0.62,0.9,0.54,0.31,0.51,0.67,0.5,0.46,0.55
wishmaster.csv,0.95,0.98,0.94,0.75,0.93,0.67,0.92,0.5,0.94,0.94,0.0,0.89,0.92,0.94,0.86,0.87
