,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,bscwweasel.csv,retromenu.csv,capcode.csv,botsnscouts.csv,nodal.csv,st-filteredstatistics.csv,lcfizvtop.csv,avisynth2.csv,powerfolder.csv,bzbyte.csv,mediaportal.csv,emite.csv,duplicati.csv,uface.csv
avisynth2.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,1.0,0.0,0.0,0.02,0.03,0.0,0.02
botsnscouts.csv,0.44,0.17,0.56,0.32,0.48,0.5,0.76,0.58,0.93,0.22,0.38,0.27,0.33,1.0,0.42,0.73,0.06,0.33,0.28
bscwweasel.csv,0.25,0.0,0.09,0.03,0.28,0.95,0.33,0.33,0.07,0.22,0.1,0.0,0.0,0.4,0.09,0.42,0.0,0.31,0.09
bzbyte.csv,0.66,0.56,0.81,0.59,0.76,0.7,0.86,0.92,0.67,0.87,0.79,0.73,0.67,0.8,1.0,0.88,0.52,0.72,0.81
capcode.csv,0.04,0.0,0.09,0.06,0.15,0.25,0.0,0.92,0.07,0.04,0.1,0.18,0.0,0.0,0.21,0.07,0.03,0.17,0.04
emite.csv,0.68,0.81,0.75,0.68,0.57,0.65,0.48,0.5,0.78,0.7,0.85,0.91,0.67,1.0,0.54,0.89,0.87,0.84,0.13
fbmanager.csv,0.32,0.42,0.47,0.97,0.46,0.2,0.38,0.58,0.37,0.3,0.31,0.27,0.0,0.6,0.37,0.62,0.06,0.24,0.27
lcfizvtop.csv,0.31,0.31,0.53,0.26,0.61,0.1,0.48,0.08,0.22,0.26,0.79,1.0,0.0,0.2,0.49,0.42,0.77,0.28,0.54
mediaportal.csv,0.06,0.43,0.31,0.03,0.72,0.6,0.57,0.5,0.3,0.04,0.1,0.0,0.0,0.4,0.32,0.92,0.58,0.24,0.19
nodal.csv,0.28,0.3,0.44,0.26,0.46,0.25,0.33,0.33,0.33,0.91,0.23,0.09,0.33,0.4,0.28,0.43,0.03,0.38,0.16
paintown.csv,0.96,0.67,0.62,0.71,0.7,0.85,0.95,0.67,0.37,0.7,0.51,0.45,0.33,0.8,0.6,0.56,0.55,0.57,0.71
powerfolder.csv,0.0,0.0,0.0,0.0,0.07,0.05,0.14,0.0,0.04,0.0,0.03,0.0,0.0,1.0,0.05,0.11,0.0,0.02,0.0
retromenu.csv,0.21,0.43,0.22,0.09,0.28,0.2,0.95,0.25,0.26,0.13,0.21,0.0,0.0,0.4,0.26,0.39,0.0,0.14,0.04
smbopensoft.csv,0.13,0.96,0.38,0.12,0.41,0.55,0.52,0.5,0.26,0.43,0.64,0.0,0.67,0.8,0.25,0.38,0.58,0.36,0.41
sqlpower-library.csv,0.59,0.99,0.69,0.71,1.0,0.95,0.81,0.92,0.81,0.74,0.38,0.73,1.0,1.0,0.81,0.87,0.42,0.95,0.49
st-filteredstatistics.csv,0.84,0.15,0.56,0.74,0.54,0.5,0.81,0.75,0.78,0.74,1.0,0.73,0.67,1.0,0.53,0.86,0.61,0.47,0.79
triplea.csv,0.51,0.05,1.0,0.35,0.52,0.45,0.67,0.33,0.26,0.57,0.59,0.36,0.67,1.0,0.51,0.62,0.48,0.57,0.56
uface.csv,0.81,1.0,0.75,0.82,0.67,0.65,0.81,0.75,0.89,0.74,0.87,0.82,1.0,0.2,0.81,0.87,0.71,0.81,1.0
