,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,bscwweasel.csv,retromenu.csv,capcode.csv,botsnscouts.csv,nodal.csv,st-filteredstatistics.csv,lcfizvtop.csv,avisynth2.csv,powerfolder.csv,bzbyte.csv,mediaportal.csv,emite.csv,duplicati.csv,uface.csv
avisynth2.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,0.0,1.0,1.0,0.98,0.97,1.0,0.98
botsnscouts.csv,0.58,0.83,0.52,0.71,0.57,0.53,0.39,0.59,0.07,0.8,0.63,0.75,0.7,0.17,0.64,0.52,0.95,0.67,0.73
bscwweasel.csv,0.76,1.0,0.91,0.97,0.72,0.05,0.7,0.69,0.93,0.78,0.9,1.0,1.0,0.61,0.91,0.7,1.0,0.69,0.91
bzbyte.csv,0.66,0.62,0.92,0.61,0.91,0.67,0.57,0.64,0.68,0.85,0.8,0.64,0.67,0.65,0.06,0.74,0.75,1.04,0.69
capcode.csv,0.96,1.0,0.91,0.94,0.85,0.75,1.0,0.08,0.94,0.96,0.9,0.82,1.02,1.0,0.79,0.93,0.97,0.83,0.96
emite.csv,0.75,0.9,0.8,0.69,0.6,0.42,0.59,0.65,0.74,0.58,0.86,0.57,0.59,0.4,0.6,0.76,0.13,1.01,0.87
fbmanager.csv,0.69,0.93,0.55,0.03,0.59,0.81,0.66,0.65,0.65,0.76,0.71,0.77,1.02,0.43,0.64,0.51,0.94,0.76,0.74
lcfizvtop.csv,0.77,0.71,0.64,0.79,0.86,0.93,0.76,0.99,0.83,0.79,0.58,0.0,1.0,0.82,0.58,0.66,0.83,0.72,0.91
mediaportal.csv,0.94,0.63,0.71,0.97,0.76,0.9,0.85,0.85,0.76,0.96,0.9,1.0,1.0,0.68,0.92,0.07,0.56,1.26,0.89
nodal.csv,0.77,0.71,0.74,0.77,0.59,0.76,0.74,0.74,0.73,0.09,0.78,0.92,0.86,0.62,0.77,0.71,0.97,1.18,0.84
paintown.csv,0.04,0.9,0.47,0.44,0.42,0.67,0.71,0.82,0.73,0.66,0.67,0.63,0.75,0.66,0.69,0.57,0.66,0.43,0.63
powerfolder.csv,1.0,1.0,1.0,1.0,0.93,0.95,0.86,1.0,0.96,1.0,0.97,1.0,1.0,0.0,0.95,0.89,1.0,0.98,1.0
retromenu.csv,0.8,0.83,0.78,0.91,0.72,0.8,0.05,0.78,0.74,0.87,0.79,1.0,1.0,0.6,0.75,0.62,1.0,0.86,0.96
smbopensoft.csv,0.87,0.04,0.76,0.89,0.61,0.73,0.61,0.6,0.8,0.72,0.58,1.0,0.59,0.29,0.79,0.69,0.63,0.64,0.69
sqlpower-library.csv,0.63,0.92,0.74,0.86,0.0,0.66,0.57,0.79,0.69,0.76,0.93,0.52,0.81,0.6,0.69,0.77,0.71,1.0,0.57
st-filteredstatistics.csv,0.62,0.87,0.72,0.67,0.66,0.67,0.5,0.59,0.56,0.76,0.08,0.8,0.68,0.48,0.65,0.79,0.57,0.53,0.61
triplea.csv,0.53,0.95,0.0,0.65,0.56,0.65,0.47,0.76,0.74,0.59,0.51,0.75,0.59,0.24,0.78,0.56,0.61,1.09,0.51
uface.csv,0.95,0.98,0.85,0.73,1.0,0.6,0.91,0.55,0.86,0.88,0.78,1.0,0.92,1.1,0.91,0.89,0.54,1.02,0.0
