,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.19,0.09,0.25,0.26,0.18,0.32,0.04,0.0,0.11,0.14,0.0,0.37,0.15,0.06,0.33,0.37
bdbbasic.csv,0.48,0.09,0.19,0.28,0.27,0.59,0.0,0.0,0.58,0.75,0.11,0.32,0.27,0.03,0.33,0.33
crux-framework.csv,0.06,0.27,0.19,0.03,0.0,0.14,0.02,0.04,0.11,0.01,0.13,0.0,0.02,0.04,0.33,0.04
echongl.csv,0.84,0.68,1.0,0.69,0.91,0.73,0.84,0.71,0.84,0.91,0.96,0.89,0.66,0.92,0.67,0.67
etherboot.csv,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.01,0.0,0.0,0.0,0.26,0.0,0.0,0.67,1.0
freebios.csv,0.32,0.32,0.12,0.49,0.64,0.32,0.67,0.45,0.53,0.52,0.38,0.42,0.46,0.25,0.67,0.11
gebr.csv,1.0,1.0,0.94,0.87,0.95,1.0,1.0,0.84,1.0,0.99,0.96,0.95,0.93,0.99,1.0,1.0
gnukeda.csv,0.97,0.77,0.31,0.82,0.91,0.73,0.53,0.57,0.47,0.76,0.6,0.26,0.97,0.19,0.67,0.93
google-gears.csv,1.0,0.95,0.94,0.74,1.0,1.0,0.94,0.99,1.0,0.99,1.0,0.89,0.92,0.97,1.0,1.0
gstreamer.csv,0.94,0.77,0.31,0.59,0.86,0.95,0.53,0.56,0.95,0.9,0.85,0.79,0.74,0.77,1.0,1.0
jnode.csv,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
metacosm.csv,0.19,0.32,0.0,0.13,0.18,0.46,0.08,0.22,0.21,0.39,0.38,0.32,0.1,0.21,0.0,0.74
openmeetings.csv,0.13,0.45,0.0,0.05,0.23,0.0,0.0,0.02,0.32,0.11,0.21,0.0,0.01,0.05,0.0,0.3
pgui.csv,0.26,0.86,0.0,0.46,0.77,0.65,0.0,0.54,0.79,0.0,0.38,0.89,0.33,0.0,1.0,1.0
tradelink.csv,0.19,0.05,0.12,0.1,0.18,0.03,0.04,0.15,0.11,0.01,0.19,0.26,0.08,0.09,0.0,0.41
wxcrp.csv,0.48,0.91,0.81,0.36,0.86,0.43,0.04,0.99,0.16,0.06,0.15,0.21,0.23,0.1,0.67,0.7
