,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.51,0.92,0.43,0.63,0.4,0.45,0.54,0.5,0.43,0.46,0.43
gamestone.csv,0.92,0.5,0.95,0.56,0.68,0.0,0.67,0.74,1.0,0.96,0.0
gbif-providertoolkit.csv,0.56,0.8,0.89,0.82,0.58,0.8,0.47,0.56,0.45,0.62,0.62
heekscad.csv,0.37,0.67,0.45,0.53,0.4,0.38,0.39,0.43,0.44,0.48,0.33
igarden.csv,0.4,0.75,0.37,0.49,0.35,0.39,0.42,0.45,0.45,0.47,0.33
levent.csv,0.75,0.8,0.0,0.0,0.37,0.46,0.51,0.0,0.0,0.0,0.48
lportal.csv,0.92,0.5,0.92,0.0,0.0,0.88,0.0,0.76,0.74,0.5,0.93
natpad.csv,0.48,0.55,0.41,0.32,0.46,0.5,0.51,0.49,0.4,0.51,0.39
openmsx.csv,0.5,0.41,0.65,0.32,0.77,0.67,0.69,0.82,0.0,0.73,0.84
owlapi.csv,0.69,0.93,0.88,0.93,0.43,0.53,0.43,0.6,1.0,0.51,0.82
xcsoar.csv,0.37,0.6,0.37,0.38,0.41,0.5,0.51,0.55,0.45,0.41,0.34
