,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.62,0.14,0.73,0.33,0.65,0.48,0.64,0.58,0.67,0.51,0.63
gamestone.csv,0.19,0.87,0.21,0.45,0.4,0.0,0.06,0.31,0.07,0.18,0.0
gbif-providertoolkit.csv,0.43,0.0,0.34,0.33,0.83,0.07,0.46,0.71,0.75,0.55,0.65
heekscad.csv,0.72,0.43,0.56,0.55,0.63,0.51,0.67,0.6,0.65,0.45,0.69
igarden.csv,0.54,0.43,0.62,0.54,0.66,0.51,0.57,0.52,0.71,0.36,0.7
levent.csv,0.42,0.0,0.0,0.0,0.65,0.69,0.55,0.0,0.0,0.0,0.7
lportal.csv,0.22,0.0,0.25,0.0,0.09,0.15,0.04,0.51,0.75,0.02,0.27
natpad.csv,0.69,0.7,0.6,0.26,0.54,0.44,0.62,0.09,0.52,0.44,0.76
openmsx.csv,0.4,0.41,0.48,0.37,0.33,0.49,0.34,0.44,0.0,0.52,0.31
owlapi.csv,0.39,0.0,0.34,0.12,0.62,0.54,0.43,0.75,0.16,0.46,0.45
xcsoar.csv,0.67,0.43,0.69,0.58,0.68,0.45,0.51,0.51,0.71,0.46,0.67
