,openefm.csv,jgnash.csv,ingex.csv,ambulant.csv,synecdoche.csv
ambulant.csv,0.78,0.53,0.78,0.26,0.95
ingex.csv,0.69,0.8,0.24,0.65,0.49
jgnash.csv,0.52,0.25,0.56,0.42,0.58
openefm.csv,0.31,0.39,0.62,0.41,0.49
synecdoche.csv,0.6,0.63,0.26,0.36,0.26
