,openefm.csv,jgnash.csv,ingex.csv,ambulant.csv,synecdoche.csv
ambulant.csv,0.64,0.56,0.86,0.71,0.83
ingex.csv,0.67,0.92,0.55,0.93,0.41
jgnash.csv,0.7,0.68,0.69,0.51,0.48
openefm.csv,0.7,0.44,0.45,0.49,0.38
synecdoche.csv,0.7,0.64,0.21,0.17,0.62
