,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.0,272.0,8.0,0.0,490.0,17.0,13.0,21.0,1.0,0.0,84.0,79.0,3.0
empserver.csv,0.0,5.0,11.0,20.0,374.0,27.0,70.0,0.0,2.0,0.0,8.0,1.0,4.0
emulemorph.csv,81.0,1261.0,0.0,1.0,490.0,2.0,86.0,0.0,85.0,0.0,84.0,79.0,1.0
google-web-toolkit.csv,0.0,40.0,1.0,1.0,490.0,8.0,45.0,27.0,3.0,2.0,7.0,1.0,2.0
htmlunit.csv,1.0,156.0,4.0,2.0,490.0,3.0,5.0,19.0,3.0,0.0,6.0,0.0,8.0
jaxen.csv,0.0,1.0,4.0,21.0,146.0,12.0,4.0,3.0,2.0,2.0,14.0,8.0,4.0
jguard.csv,0.0,5.0,7.0,21.0,366.0,27.0,65.0,3.0,0.0,1.0,6.0,1.0,3.0
kowari.csv,1.0,5.0,1.0,1.0,490.0,14.0,26.0,18.0,2.0,0.0,1.0,1.0,3.0
maidsafe-dht.csv,0.0,5.0,7.0,1.0,490.0,2.0,24.0,5.0,1.0,1.0,25.0,1.0,2.0
mimosa.csv,0.0,4.0,4.0,13.0,280.0,17.0,58.0,2.0,2.0,0.0,0.0,0.0,5.0
vdsf.csv,0.0,5.0,8.0,21.0,490.0,27.0,66.0,3.0,2.0,1.0,8.0,1.0,3.0
xbrlapi.csv,0.0,0.0,3.0,33.0,490.0,19.0,25.0,6.0,1.0,0.0,50.0,1.0,3.0
