,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.82,0.81,0.46,0.32,0.43,0.07,0.47,0.12,0.36,0.14
aime.csv,0.58,0.88,0.19,0.0,0.43,0.14,0.34,0.11,0.38,0.32
badtrinitycore.csv,0.0,0.03,0.36,0.51,0.22,0.53,0.58,0.3,0.44,0.31
electric-core.csv,0.71,0.72,0.5,0.3,0.33,0.58,0.47,0.25,0.44,0.38
geochat.csv,0.55,0.86,0.2,0.02,0.22,0.07,0.24,0.04,0.14,0.42
mumble.csv,0.68,0.87,0.21,0.13,0.38,0.62,0.71,0.21,0.4,0.41
olsrd.csv,0.73,0.84,0.4,0.29,0.26,0.47,0.52,0.25,0.49,0.38
silvertree.csv,0.74,0.79,0.4,0.23,0.3,0.77,0.47,0.21,0.49,0.24
skia.csv,0.67,0.7,0.34,0.29,0.34,0.27,0.58,0.34,0.59,0.1
t-2.csv,0.56,0.66,0.26,0.21,0.28,0.58,0.44,0.45,0.36,0.36
