,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.31,0.43,0.49,0.5,0.45,0.96,0.54,0.85,0.72,0.9
aime.csv,0.81,0.9,0.88,1.0,0.43,0.92,0.76,0.89,0.69,0.72
badtrinitycore.csv,1.0,0.99,0.63,0.25,0.81,0.77,0.46,0.6,0.69,0.71
electric-core.csv,0.75,0.52,0.45,0.5,0.65,0.79,0.57,0.66,0.71,0.62
geochat.csv,0.77,0.95,0.97,1.03,0.86,0.96,0.84,0.98,0.92,0.58
mumble.csv,0.92,1.0,0.84,0.9,0.62,0.54,0.26,0.69,0.69,0.57
olsrd.csv,0.79,0.31,0.56,0.52,0.7,0.64,0.62,0.6,0.58,0.63
silvertree.csv,0.71,0.37,0.6,0.7,0.64,0.28,0.7,0.91,0.75,0.79
skia.csv,0.48,0.47,0.71,0.52,0.61,0.82,0.41,0.48,0.47,0.94
t-2.csv,0.62,0.74,0.74,0.65,0.81,0.79,0.58,0.4,0.79,0.7
