,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.73,0.64,0.69,0.77,0.66,0.64,0.67,0.69,1.0,0.64,0.84,0.52
codesmith.csv,0.45,0.58,0.84,0.41,0.81,0.61,0.77,0.83,0.8,0.77,0.63,0.88
icescrum.csv,0.68,0.45,0.33,0.36,0.44,0.31,0.52,0.72,0.33,0.18,0.84,0.16
ingex.csv,0.73,0.58,0.47,0.56,0.81,0.56,0.77,0.55,0.87,0.5,0.63,0.5
jrefactory.csv,0.64,0.61,0.76,0.64,0.31,0.14,0.33,0.62,0.27,0.36,0.26,0.83
jsecurity.csv,0.26,0.52,0.35,0.69,0.16,0.58,0.41,0.28,0.53,0.14,0.16,0.83
libopenmetaverse.csv,0.98,1.0,1.0,1.0,1.0,0.61,0.99,0.9,1.0,0.27,1.0,0.78
lite.csv,0.15,0.45,0.59,0.44,0.23,0.64,0.51,0.38,0.8,0.59,0.68,0.09
mobicents.csv,0.83,0.76,0.47,0.46,0.56,0.61,0.68,0.9,0.47,0.95,0.89,0.23
opendvr.csv,0.61,0.55,0.29,0.31,0.44,0.92,0.53,0.52,0.6,0.73,0.53,0.36
openefm.csv,0.59,0.67,0.41,0.72,0.19,0.72,0.72,0.31,0.07,0.77,0.95,0.58
sidekar.csv,0.0,0.39,0.0,0.0,0.75,0.0,0.0,0.0,0.87,1.0,0.0,0.0
