,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.63,0.76,0.95,0.65,0.62,0.51,0.59,0.89,0.46,0.81,0.32,0.7,0.61,0.94,0.6,0.98
biodwh.csv,0.69,0.77,0.75,0.78,0.7,0.87,0.7,0.86,0.84,0.87,0.76,0.94,0.5,0.3,0.67,0.52
bloodycore.csv,0.99,0.76,0.99,0.41,0.77,0.97,0.9,0.92,0.97,0.86,0.65,0.54,0.69,0.93,0.91,0.65
blue-c.csv,0.59,0.62,0.96,0.68,0.67,0.28,0.72,0.81,0.72,0.67,0.4,0.51,0.49,0.59,0.58,0.48
etics.csv,0.58,0.78,0.36,0.7,0.7,0.73,0.71,0.6,0.54,0.62,0.72,0.79,0.57,0.54,0.77,0.5
flexpay.csv,0.92,0.71,0.69,0.68,0.72,1.03,0.84,0.64,0.84,0.77,0.93,0.78,0.89,0.61,0.82,0.45
flylegacy.csv,0.81,0.55,0.93,0.69,0.93,0.51,0.85,0.82,0.59,0.82,0.51,0.78,0.82,0.8,1.0,0.96
ftm.csv,0.61,0.73,0.55,0.72,0.55,0.44,0.9,0.86,0.57,0.76,0.69,0.52,0.63,0.84,0.47,0.53
gzigzag.csv,0.76,0.65,0.55,0.63,0.51,0.7,0.61,0.76,0.52,0.86,0.65,0.86,0.63,0.61,0.69,0.32
img-browse-sort.csv,0.64,0.6,0.78,0.59,0.69,0.34,0.69,0.64,0.74,0.49,0.61,0.3,0.6,0.69,0.6,0.29
jcache.csv,0.81,0.77,0.57,0.79,0.79,1.0,0.65,0.65,0.78,0.69,0.79,0.7,0.88,0.56,0.81,0.19
jguard.csv,0.99,0.77,0.83,0.66,0.64,0.86,0.49,0.79,0.76,0.93,0.72,0.8,0.93,0.84,0.97,0.57
ppcboot.csv,0.97,0.96,0.77,0.89,0.79,1.0,0.93,1.0,0.97,0.49,1.0,0.83,1.0,0.66,0.99,1.0
qdvdauthor.csv,0.93,0.86,0.98,0.58,0.69,0.73,0.7,0.77,0.75,0.97,0.44,0.71,0.38,0.9,0.62,0.96
reactos-mirror.csv,0.47,0.68,0.9,0.69,0.62,0.53,0.65,0.66,0.49,1.0,0.61,0.52,0.59,0.62,0.89,0.4
unbvision.csv,0.64,0.79,0.39,0.69,0.67,0.73,0.73,0.64,0.37,0.77,0.68,0.52,0.55,0.57,0.86,0.58
