,twostep.csv,gpsmid.csv,rsyslog.csv,botsnscouts.csv,libtorrent.csv,plplot.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.93,0.11,0.25,0.22,0.33,0.28,0.33,0.66,0.58
gpsmid.csv,0.76,0.21,1.0,0.48,0.72,0.89,0.14,0.66,0.78
libtorrent.csv,0.93,0.66,0.88,0.44,0.33,0.68,0.36,0.8,0.81
magicwars.csv,1.0,0.63,1.0,0.89,1.0,1.0,0.07,0.86,0.8
plplot.csv,0.84,0.37,0.83,0.59,0.0,0.18,0.03,0.34,0.53
rsyslog.csv,0.82,0.34,0.25,0.41,0.78,0.25,0.31,0.75,0.36
turbotrader-bos.csv,0.6,0.08,0.17,0.04,0.17,0.07,0.06,0.23,0.39
twostep.csv,0.18,0.42,0.17,0.44,0.0,0.26,0.68,0.59,0.67
xmemcached.csv,0.98,0.63,0.96,0.67,0.61,0.46,0.56,0.95,0.23
