,twostep.csv,gpsmid.csv,rsyslog.csv,botsnscouts.csv,libtorrent.csv,plplot.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.27,0.48,0.61,0.71,0.69,0.59,0.56,0.66,0.69
gpsmid.csv,0.6,0.81,0.0,0.63,0.52,0.36,0.55,0.69,0.55
libtorrent.csv,0.27,0.66,0.4,0.56,0.71,0.57,0.71,0.53,0.5
magicwars.csv,0.0,0.72,0.0,0.36,0.0,0.0,0.68,0.44,0.49
plplot.csv,0.45,0.63,0.5,0.59,0.43,0.61,0.47,0.58,0.6
rsyslog.csv,0.4,0.62,0.83,0.62,0.55,0.52,0.43,0.61,0.65
turbotrader-bos.csv,0.73,0.64,0.47,0.26,0.52,0.43,0.37,0.7,0.68
twostep.csv,0.87,0.76,0.47,0.74,0.5,0.6,0.63,0.69,0.66
xmemcached.csv,0.09,0.64,0.17,0.65,0.44,0.36,0.53,0.21,0.67
