,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.93,0.66,0.86,0.79,0.17,0.84,0.69,0.81,0.9,0.89,0.83,0.97,0.94,0.89,0.85,0.6
amygdala.csv,0.6,0.66,0.82,0.93,0.99,0.87,0.8,0.98,0.89,0.46,0.67,0.89,0.95,0.74,0.88,0.7
cme.csv,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.88,0.92,0.02
dspace-gsoc.csv,0.45,0.83,0.68,0.89,0.94,0.51,0.61,0.89,0.98,0.63,0.46,0.53,1.0,0.72,0.58,0.87
hydrate.csv,0.63,0.65,0.89,1.19,0.56,0.91,0.89,0.8,0.65,0.71,0.67,0.71,0.69,0.66,0.46,0.69
ivef-sdk.csv,0.68,0.64,0.8,0.0,0.98,1.01,0.82,1.0,0.77,0.96,0.84,1.0,1.11,0.89,1.0,0.63
jmri.csv,0.64,0.49,0.98,0.45,0.79,0.48,0.86,0.86,0.63,0.78,0.85,0.66,0.73,0.86,0.79,0.9
kdenlive.csv,0.41,0.63,0.76,1.21,0.74,0.41,0.57,0.64,0.7,0.69,0.9,0.67,0.4,0.67,0.75,0.52
motu.csv,0.44,0.78,0.75,0.28,0.95,0.72,0.84,0.53,1.0,0.73,0.67,0.6,1.0,0.73,0.56,0.79
plplot.csv,0.55,0.64,0.88,1.01,0.57,0.45,0.76,0.48,0.68,0.78,0.82,0.77,0.59,0.81,0.84,0.63
projectfactory.csv,0.96,0.66,0.83,0.94,0.86,0.66,0.85,0.59,0.55,0.95,0.78,0.38,0.75,0.81,0.54,0.43
runuomondains.csv,0.47,0.73,0.86,0.97,0.82,0.53,0.69,0.65,1.0,0.77,0.68,0.3,0.58,0.91,0.69,0.88
somap.csv,0.98,0.8,0.81,1.12,0.84,0.83,0.92,0.98,0.83,0.94,1.0,0.94,0.17,0.95,1.0,0.83
taverna.csv,0.61,0.83,0.38,0.93,0.69,0.65,0.7,0.83,0.69,0.63,0.86,0.51,0.65,0.91,0.79,0.64
tigermud.csv,0.86,0.81,0.72,1.0,0.95,0.9,1.02,0.96,0.9,0.96,0.86,0.57,0.5,0.56,0.79,1.02
wishmaster.csv,0.56,0.73,0.84,0.48,0.97,0.71,0.44,0.85,0.69,0.7,0.87,0.76,0.79,0.94,0.97,0.65
