,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.45,0.51,0.46,0.76,0.88,0.39,0.29,0.24,0.18,0.44,0.3,0.19,0.11,0.2,0.65,0.19
amygdala.csv,0.65,0.47,0.41,0.14,0.09,0.19,0.23,0.07,0.25,0.71,0.59,0.12,0.67,0.48,0.21,0.15
cme.csv,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.23,0.16,0.91
dspace-gsoc.csv,0.71,0.63,0.44,0.33,0.22,0.49,0.35,0.36,0.64,0.63,0.79,0.35,0.94,0.45,0.61,0.15
hydrate.csv,0.56,0.56,0.53,0.09,0.61,0.43,0.14,0.26,0.49,0.43,0.74,0.25,0.47,0.5,0.75,0.22
ivef-sdk.csv,0.7,0.56,0.36,1.0,0.25,0.34,0.36,0.0,0.61,0.09,0.27,0.0,0.64,0.2,0.0,0.2
jmri.csv,0.51,0.63,0.14,0.7,0.44,0.53,0.15,0.18,0.5,0.35,0.29,0.26,0.51,0.25,0.36,0.18
kdenlive.csv,0.78,0.52,0.33,0.24,0.43,0.57,0.36,0.44,0.58,0.57,0.8,0.26,0.75,0.56,0.76,0.27
motu.csv,0.77,0.6,0.52,0.84,0.19,0.46,0.35,0.44,0.64,0.54,0.54,0.25,0.92,0.54,0.6,0.16
plplot.csv,0.68,0.52,0.2,0.76,0.66,0.54,0.25,0.49,0.49,0.38,0.71,0.21,0.67,0.33,0.54,0.23
projectfactory.csv,0.08,0.47,0.25,0.11,0.27,0.38,0.17,0.42,0.62,0.1,0.35,0.39,0.4,0.33,0.67,0.28
runuomondains.csv,0.68,0.64,0.29,0.79,0.51,0.5,0.31,0.39,0.61,0.57,0.66,0.5,0.68,0.24,0.54,0.12
somap.csv,0.75,0.58,0.56,0.51,0.64,0.4,0.33,0.37,0.57,0.69,0.79,0.2,0.91,0.78,0.78,0.19
taverna.csv,0.55,0.27,0.64,0.14,0.55,0.4,0.27,0.2,0.51,0.51,0.24,0.44,0.52,0.73,0.34,0.22
tigermud.csv,0.39,0.53,0.35,0.0,0.1,0.17,0.0,0.3,0.19,0.12,0.48,0.29,0.67,0.71,0.81,0.0
wishmaster.csv,0.61,0.4,0.25,0.67,0.05,0.33,0.46,0.25,0.46,0.44,0.23,0.25,0.54,0.11,0.06,0.23
