,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.81,0.57,0.48,0.54,0.74,0.65,0.71,0.69,0.8,0.67,0.91,0.45,0.75,0.8,0.5,0.62
amygdala.csv,0.41,0.79,0.5,0.8,0.85,0.91,0.92,0.88,0.68,0.44,0.43,0.89,0.52,0.57,0.8,0.62
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.0,0.89,0.8,0.83
dspace-gsoc.csv,0.4,0.41,0.42,0.47,0.59,0.38,0.33,0.38,0.38,0.38,0.35,0.6,0.35,0.5,0.48,0.42
hydrate.csv,0.48,0.39,0.39,0.58,0.5,0.51,0.5,0.45,0.59,0.61,0.35,0.42,0.59,0.53,0.35,0.34
ivef-sdk.csv,0.47,0.65,0.62,0.61,0.7,0.56,0.39,0.0,0.48,0.86,0.88,0.5,0.58,0.8,0.0,0.54
jmri.csv,0.53,0.54,0.6,0.79,0.54,0.67,0.52,0.89,0.66,0.64,0.75,0.8,0.59,0.8,0.75,0.38
kdenlive.csv,0.39,0.42,0.43,0.4,0.5,0.41,0.48,0.39,0.41,0.44,0.29,0.39,0.4,0.38,0.33,0.34
motu.csv,0.36,0.39,0.42,0.63,0.55,0.45,0.35,0.53,0.38,0.44,0.43,0.46,0.36,0.46,0.5,0.39
plplot.csv,0.48,0.44,0.55,0.47,0.49,0.59,0.4,0.41,0.47,0.68,0.3,0.45,0.41,0.46,0.47,0.39
projectfactory.csv,0.67,0.58,0.85,0.83,0.58,0.52,0.47,0.4,0.51,0.75,0.8,0.5,0.72,0.62,0.44,0.5
runuomondains.csv,0.39,0.42,0.44,0.45,0.51,0.47,0.36,0.42,0.38,0.43,0.38,0.69,0.5,0.5,0.48,0.45
somap.csv,0.43,0.38,0.39,0.51,0.47,0.52,0.4,0.38,0.41,0.41,0.29,0.44,0.38,0.44,0.37,0.35
taverna.csv,0.6,0.95,0.69,0.86,0.65,0.53,0.43,0.76,0.56,0.6,0.83,0.7,0.72,0.48,0.88,0.77
tigermud.csv,0.93,0.49,0.67,0.67,0.86,0.67,0.92,0.42,0.93,0.92,0.44,0.7,0.5,0.54,0.38,0.82
wishmaster.csv,0.66,0.65,0.64,0.81,0.75,0.62,0.56,0.67,0.71,0.67,0.86,0.88,0.61,0.5,0.5,0.44
