,pci_20
qtractor.csv,0.39
oppna-program-hsatools.csv,0.6
acegisecurity.csv,0.67
customsagetv.csv,0.86
openxava.csv,0.35
botsnscouts.csv,0.42
google-caja.csv,0.37
freebios.csv,0.48
tktoolkit.csv,0.43
mbse.csv,0.35
gebr.csv,0.46
flexpay.csv,0.87
bnetd.csv,0.48
gabel.csv,0.4
mpgravity.csv,0.33
vars-redux.csv,0.39
jam-daq.csv,0.34
haphazard.csv,0.37
httpcontentparser.csv,0.56
mia.csv,0.4
vrjuggler.csv,0.44
myfaces.csv,0.68
massiv.csv,0.55
wow-qrsk.csv,0.54
bacnet.csv,0.38
gretl.csv,0.37
empserver.csv,0.5
plplot.csv,0.59
mycila.csv,0.69
ogrehg.csv,0.52
alleg.csv,0.44
k3b.csv,0.47
jaxlib.csv,0.32
chaperon.csv,0.71
unbvision.csv,0.48
genecys.csv,0.38
openmalaria.csv,0.46
wishmaster.csv,0.73
bibedt.csv,0.64
yarp0.csv,0.53
tmva.csv,0.4
azureus.csv,0.48
bulmages.csv,0.4
ctrlr.csv,0.65
rodin-b-sharp.csv,0.46
kowari.csv,0.35
ppcboot.csv,0.82
clamav.csv,0.69
motu.csv,0.62
gnupdate.csv,0.66
customwars.csv,0.69
libtorrent.csv,0.39
fceugc.csv,0.48
minig.csv,0.94
calcubetimer.csv,0.67
iaml.csv,0.89
jppf-project.csv,0.63
anaxagora.csv,0.48
ipfire-wall.csv,0.39
sumatrapdf.csv,0.61
gwanted.csv,0.47
cubefs.csv,0.84
moving-pictures.csv,0.64
alsa.csv,0.6
nodal.csv,0.48
monetdb.csv,0.35
xemeiah.csv,0.69
riff-evolve.csv,0.41
owlapi.csv,0.48
ogre.csv,0.6
