,d2h
qtractor.csv,0.4
oppna-program-hsatools.csv,0.64
acegisecurity.csv,0.59
customsagetv.csv,0.9
openxava.csv,0.61
botsnscouts.csv,0.4
google-caja.csv,0.39
freebios.csv,0.7
tktoolkit.csv,0.58
mbse.csv,0.6
gebr.csv,0.54
flexpay.csv,0.74
bnetd.csv,0.5
gabel.csv,0.57
mpgravity.csv,0.62
vars-redux.csv,0.54
jam-daq.csv,0.6
haphazard.csv,0.75
httpcontentparser.csv,0.56
mia.csv,0.9
vrjuggler.csv,0.81
myfaces.csv,0.4
massiv.csv,0.45
wow-qrsk.csv,0.4
bacnet.csv,0.65
gretl.csv,0.51
empserver.csv,0.58
plplot.csv,0.41
mycila.csv,0.74
ogrehg.csv,0.49
alleg.csv,0.75
k3b.csv,0.57
jaxlib.csv,0.73
chaperon.csv,1.01
unbvision.csv,0.5
genecys.csv,0.39
openmalaria.csv,0.58
wishmaster.csv,0.88
bibedt.csv,0.62
yarp0.csv,0.65
tmva.csv,0.63
azureus.csv,0.49
bulmages.csv,0.61
ctrlr.csv,0.87
rodin-b-sharp.csv,0.72
kowari.csv,0.73
ppcboot.csv,0.61
clamav.csv,0.62
motu.csv,0.58
gnupdate.csv,0.39
customwars.csv,0.68
libtorrent.csv,0.61
fceugc.csv,0.55
minig.csv,0.81
calcubetimer.csv,0.95
iaml.csv,0.83
jppf-project.csv,0.73
anaxagora.csv,0.7
ipfire-wall.csv,0.46
sumatrapdf.csv,0.46
gwanted.csv,0.54
cubefs.csv,0.87
moving-pictures.csv,0.74
alsa.csv,0.7
nodal.csv,0.82
monetdb.csv,0.6
xemeiah.csv,0.52
riff-evolve.csv,0.91
owlapi.csv,0.61
ogre.csv,1.25
