,recall
qtractor.csv,0.86
oppna-program-hsatools.csv,0.36
acegisecurity.csv,0.45
customsagetv.csv,0.1
openxava.csv,0.62
botsnscouts.csv,0.67
google-caja.csv,0.68
freebios.csv,0.45
tktoolkit.csv,0.78
mbse.csv,0.92
gebr.csv,0.48
flexpay.csv,0.28
bnetd.csv,0.59
gabel.csv,0.88
mpgravity.csv,0.92
vars-redux.csv,0.67
jam-daq.csv,0.78
haphazard.csv,0.38
httpcontentparser.csv,0.6
mia.csv,1.0
vrjuggler.csv,0.44
myfaces.csv,0.62
massiv.csv,0.75
wow-qrsk.csv,0.66
bacnet.csv,0.76
gretl.csv,0.59
empserver.csv,0.53
plplot.csv,0.62
mycila.csv,0.3
ogrehg.csv,0.6
alleg.csv,0.67
k3b.csv,0.47
jaxlib.csv,1.0
chaperon.csv,0.0
unbvision.csv,0.6
genecys.csv,0.79
openmalaria.csv,0.76
wishmaster.csv,0.14
bibedt.csv,0.4
yarp0.csv,0.44
tmva.csv,0.55
azureus.csv,0.61
bulmages.csv,0.52
ctrlr.csv,0.19
rodin-b-sharp.csv,0.41
kowari.csv,0.86
ppcboot.csv,0.56
clamav.csv,0.4
motu.csv,0.46
gnupdate.csv,0.7
customwars.csv,0.35
libtorrent.csv,0.65
fceugc.csv,0.52
minig.csv,0.2
calcubetimer.csv,0.05
iaml.csv,0.18
jppf-project.csv,0.28
anaxagora.csv,0.43
ipfire-wall.csv,0.83
sumatrapdf.csv,0.58
gwanted.csv,0.61
cubefs.csv,0.16
moving-pictures.csv,0.29
alsa.csv,0.33
nodal.csv,0.26
monetdb.csv,0.87
xemeiah.csv,0.55
riff-evolve.csv,0.99
owlapi.csv,0.88
ogre.csv,0.24
