,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,0.21,0.93,0.95,0.75,1.0,0.34,0.4,0.67,0.48,0.54,0.61,0.65,0.0,0.86,1.0,0.84,0.49
cubefs.csv,0.89,0.45,0.3,0.38,1.0,0.51,0.19,0.64,0.71,0.43,0.69,0.82,1.0,0.46,0.67,0.39,0.97
gwanted.csv,0.68,0.56,0.37,0.69,0.67,0.19,0.64,0.28,0.24,0.68,0.45,0.14,0.0,0.0,0.33,0.0,0.29
iaml.csv,0.21,0.17,0.3,0.19,0.33,0.34,0.14,0.17,0.63,0.43,0.1,0.04,1.0,0.31,0.0,0.12,0.11
java-gnome.csv,0.95,0.24,0.3,0.31,0.67,0.64,0.1,0.19,0.2,0.43,0.06,0.79,0.0,0.29,0.33,0.7,0.26
mecat.csv,0.58,0.25,0.36,0.5,0.67,0.02,0.02,0.09,0.01,0.29,0.0,0.05,0.0,0.0,1.0,0.0,0.26
mvdsv.csv,0.58,0.03,0.02,0.25,1.0,0.02,0.33,0.11,0.06,0.07,0.08,0.25,0.0,0.0,0.67,0.02,0.11
openwbem.csv,0.95,0.56,0.7,0.56,0.67,0.83,0.45,0.51,0.19,0.57,0.86,0.28,1.0,0.63,0.67,0.34,0.6
orc.csv,0.05,0.36,0.45,0.88,0.33,0.05,0.55,0.24,0.16,0.32,0.36,0.11,0.0,0.0,1.0,0.19,0.26
plato.csv,1.0,1.0,0.99,0.75,1.0,0.82,0.88,0.91,0.93,0.75,0.21,0.25,1.0,1.0,1.0,0.92,1.0
rodin-b-sharp.csv,0.53,0.02,0.48,0.5,1.0,0.18,0.52,0.83,0.54,0.43,0.22,0.88,0.0,0.0,0.33,0.41,0.31
ta3d.csv,0.53,0.07,0.09,0.0,0.0,0.2,0.19,0.18,0.59,0.21,0.38,0.53,0.0,0.0,0.67,0.09,0.66
tycho.csv,0.21,0.66,0.62,0.5,0.33,0.48,0.48,0.55,0.37,0.57,0.7,0.42,1.0,0.74,0.67,0.34,0.51
umber.csv,0.95,0.82,0.85,1.0,1.0,0.75,1.0,0.97,0.81,0.79,0.97,1.0,1.0,0.31,1.0,1.0,0.86
vienna-add-in.csv,0.79,0.6,0.65,0.56,0.0,0.72,0.45,0.23,0.33,0.43,0.43,0.14,1.0,0.8,0.33,0.22,0.57
wpdev.csv,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.88,0.82,1.0,0.96,1.0,1.0,1.0,0.81,0.97
