,orc.csv,magicwars.csv,haggle.csv,java-gnome.csv,archive-crawler.csv,servicestack.csv,gisgraphy.csv
archive-crawler.csv,0.11,0.46,0.59,0.36,0.51,0.36,0.34
gisgraphy.csv,0.11,0.46,0.66,0.0,0.26,0.39,0.71
haggle.csv,0.23,0.44,0.71,0.06,0.53,0.5,0.6
java-gnome.csv,0.2,0.3,0.57,0.89,0.26,0.28,0.39
magicwars.csv,0.17,0.73,0.78,0.88,0.49,0.42,0.43
orc.csv,0.5,0.32,0.53,0.27,0.41,0.5,0.2
servicestack.csv,0.14,0.25,0.1,0.0,0.35,0.65,0.23
