,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.69,0.75,0.77,0.87,0.86,0.51,0.5,0.52,0.96,0.69,0.62,0.78
gamestone.csv,0.25,1.0,0.32,0.23,0.5,0.18,0.15,0.23,0.42,0.23,0.12,0.31
gbif-providertoolkit.csv,0.35,0.0,0.14,0.42,0.93,0.12,0.15,0.26,0.1,0.08,0.12,0.2
heekscad.csv,0.97,0.62,0.62,0.87,0.57,0.57,0.54,0.54,0.65,0.62,0.71,0.42
igarden.csv,0.35,0.25,0.25,1.0,0.14,0.2,0.15,0.09,0.19,0.54,0.15,0.31
levent.csv,0.52,0.5,0.64,0.9,0.86,1.0,0.42,0.34,0.51,0.69,0.62,0.47
libmesh.csv,0.18,0.88,0.05,0.39,0.21,0.0,0.77,0.25,0.12,0.69,0.17,0.56
openmsx.csv,0.86,0.88,0.64,0.9,0.71,0.51,0.38,0.95,0.5,0.85,0.48,0.58
pnotepad.csv,0.95,0.88,0.96,1.0,0.93,0.73,0.65,0.82,0.88,1.0,0.98,0.96
quark.csv,0.34,0.25,0.36,0.13,0.14,0.0,0.15,0.22,0.05,1.0,0.17,0.22
tango-cs.csv,0.44,0.25,0.34,0.45,0.36,0.2,0.04,0.25,0.36,0.77,0.4,0.96
xcsoar.csv,0.71,0.5,0.95,0.58,0.71,0.45,0.19,0.42,0.61,0.92,0.56,0.71
