,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.4,0.6,0.46,0.69,0.55,0.3,0.48,0.49,0.04,0.85,0.7,0.86
gamestone.csv,0.13,0.0,0.17,0.25,0.27,0.04,0.3,0.28,0.42,0.12,0.0,0.43
gbif-providertoolkit.csv,0.19,0.08,0.06,0.31,0.01,0.13,0.2,0.14,0.19,0.1,0.0,0.25
heekscad.csv,0.0,0.33,0.45,0.51,0.4,0.39,0.63,0.56,0.38,0.29,0.4,0.42
igarden.csv,0.06,0.15,0.1,0.0,0.01,0.09,0.26,0.07,0.04,0.15,0.0,0.06
levent.csv,0.3,0.35,0.38,0.67,0.69,0.04,0.43,0.31,0.42,0.42,0.4,0.46
libmesh.csv,0.19,0.83,0.08,0.18,0.34,0.0,0.02,0.31,0.12,0.63,0.4,0.61
openmsx.csv,0.79,0.85,0.72,0.89,0.45,0.74,0.46,0.0,0.54,0.77,0.6,0.67
pnotepad.csv,0.79,0.54,0.77,0.96,0.9,0.48,0.76,0.82,0.85,0.94,0.0,0.81
quark.csv,0.13,0.08,0.15,0.03,0.04,0.0,0.17,0.09,0.0,0.0,0.1,0.1
tango-cs.csv,0.23,0.23,0.15,0.29,0.36,0.13,0.17,0.15,0.27,0.98,0.2,0.03
xcsoar.csv,0.21,0.42,0.01,0.46,0.57,0.17,0.5,0.32,0.46,0.63,0.0,0.65
