,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.71,0.27,0.65,0.5,0.38,0.62,0.43,0.47,0.97,0.27,0.71,0.5
gamestone.csv,0.37,1.0,0.42,0.25,0.36,0.31,0.18,0.28,0.54,0.27,0.22,0.31
gbif-providertoolkit.csv,0.48,0.0,0.24,0.39,0.93,0.21,0.21,0.36,0.17,0.11,0.22,0.25
heekscad.csv,0.99,0.33,0.57,0.57,0.33,0.65,0.41,0.46,0.73,0.44,0.79,0.41
igarden.csv,0.5,0.22,0.36,1.0,0.24,0.33,0.19,0.15,0.31,0.5,0.25,0.44
levent.csv,0.61,0.27,0.61,0.52,0.33,0.99,0.39,0.38,0.62,0.41,0.73,0.43
libmesh.csv,0.28,0.24,0.09,0.43,0.15,0.0,0.85,0.29,0.22,0.33,0.27,0.45
openmsx.csv,0.73,0.24,0.5,0.46,0.37,0.55,0.35,0.98,0.6,0.34,0.6,0.44
pnotepad.csv,0.78,0.33,0.65,0.47,0.3,0.75,0.44,0.54,0.81,0.35,0.99,0.6
quark.csv,0.48,0.29,0.46,0.22,0.21,0.0,0.21,0.32,0.1,1.0,0.28,0.32
tango-cs.csv,0.56,0.18,0.44,0.42,0.23,0.32,0.06,0.34,0.5,0.27,0.55,0.96
xcsoar.csv,0.77,0.24,0.96,0.44,0.32,0.59,0.19,0.44,0.7,0.41,0.72,0.52
