,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.74,0.16,0.57,0.35,0.24,0.78,0.37,0.42,0.99,0.17,0.81,0.37
gamestone.csv,0.76,1.0,0.6,0.28,0.28,0.9,0.22,0.37,0.76,0.33,1.0,0.32
gbif-providertoolkit.csv,0.75,0.0,0.67,0.37,0.93,0.67,0.31,0.57,0.62,0.17,1.0,0.35
heekscad.csv,1.0,0.23,0.52,0.42,0.23,0.76,0.33,0.4,0.84,0.35,0.89,0.4
igarden.csv,0.9,0.2,0.67,1.0,0.67,0.83,0.25,0.46,0.94,0.47,1.0,0.78
levent.csv,0.74,0.18,0.57,0.37,0.21,0.98,0.35,0.43,0.79,0.29,0.88,0.4
libmesh.csv,0.61,0.14,0.33,0.48,0.12,0.0,0.95,0.36,0.77,0.21,0.67,0.37
openmsx.csv,0.64,0.14,0.41,0.3,0.25,0.6,0.32,1.0,0.74,0.22,0.79,0.36
pnotepad.csv,0.66,0.2,0.5,0.31,0.18,0.77,0.33,0.41,0.76,0.21,1.0,0.43
quark.csv,0.81,0.33,0.65,0.67,0.4,0.0,0.33,0.64,1.0,1.0,0.89,0.59
tango-cs.csv,0.76,0.14,0.63,0.4,0.17,0.77,0.11,0.53,0.81,0.16,0.9,0.96
xcsoar.csv,0.85,0.15,0.98,0.35,0.21,0.85,0.18,0.47,0.8,0.27,1.0,0.42
