,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.5,0.47,0.46,0.51,0.47,0.8,0.92,0.36,0.56,0.67,0.45,0.59,0.39,0.63,0.62
bl-toolkit.csv,0.52,0.75,0.44,0.4,0.6,0.48,0.41,0.6,0.43,0.54,0.42,0.43,0.67,0.38,0.43
bochs.csv,0.45,0.48,0.4,0.44,0.66,0.44,0.8,0.41,0.57,0.56,0.42,0.44,0.39,0.38,0.52
emeraldemu.csv,0.55,0.6,0.56,0.56,0.73,0.92,0.0,0.49,0.66,0.7,0.53,0.94,0.45,0.49,0.8
fbmanager.csv,0.43,0.0,0.0,0.0,0.0,0.8,0.88,0.0,0.0,0.8,0.47,0.0,0.0,0.59,0.57
modellus.csv,0.86,0.76,0.57,0.46,0.88,0.58,0.52,0.55,0.5,0.58,0.65,0.42,0.41,0.34,0.62
openmalaria.csv,0.34,0.4,0.37,0.35,0.42,0.39,0.39,0.36,0.45,0.39,0.41,0.34,0.36,0.31,0.5
pi-qmc.csv,0.46,0.5,0.43,0.49,0.56,0.4,0.38,0.37,0.54,0.43,0.69,0.36,0.41,0.32,0.52
plplot.csv,0.55,0.48,0.5,0.41,0.63,0.52,0.4,0.48,0.43,0.62,0.45,0.49,0.38,0.35,0.57
powerfolder.csv,0.42,0.52,0.42,0.47,0.7,0.92,0.61,0.36,0.53,0.71,0.5,0.52,0.38,0.94,0.52
psycle.csv,0.42,0.49,0.42,0.37,0.57,0.52,0.41,0.37,0.41,0.45,0.42,0.39,0.37,0.34,0.46
qgis.csv,0.57,0.57,0.51,0.53,0.62,0.81,0.0,0.45,0.74,0.56,0.51,0.62,0.41,0.46,0.71
sbml.csv,0.37,0.43,0.39,0.34,0.61,0.43,0.36,0.39,0.41,0.55,0.39,0.35,0.36,0.32,0.53
unimrcp.csv,0.46,0.47,0.51,0.5,0.62,0.75,0.44,0.48,0.53,0.5,0.49,0.49,0.39,0.42,0.52
wow-qrsk.csv,0.5,0.97,0.54,0.59,0.76,0.46,0.92,0.86,0.61,0.91,0.93,0.5,0.91,0.78,0.0
