,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.67,0.44,0.81,0.41,0.27,0.53,0.35,0.62,0.71,0.55,0.51,0.52,0.0,0.5,0.52
glelite.csv,0.48,0.68,0.27,0.09,0.0,0.33,0.23,0.13,0.17,0.7,0.46,0.21,0.97,0.3,0.5
hannosset.csv,0.11,0.0,0.26,0.96,0.18,0.11,0.0,0.0,0.26,0.02,0.82,0.0,0.0,0.24,0.0
ipfilter.csv,0.36,0.52,0.34,0.41,0.3,0.46,0.56,0.3,0.54,0.67,0.51,0.96,0.0,0.57,0.57
moving-pictures.csv,0.21,0.65,0.0,0.96,0.43,0.73,0.63,0.0,0.51,0.44,0.73,0.64,0.32,0.62,0.75
pclasses.csv,0.82,0.44,0.0,0.68,0.58,0.16,0.35,0.0,0.63,0.35,0.2,0.05,0.08,0.25,0.6
pfaedit.csv,0.0,0.64,0.0,0.68,0.66,0.81,0.29,0.0,0.33,0.17,0.42,0.05,0.32,0.24,0.37
qcad2.csv,0.11,0.42,0.24,0.37,0.77,0.66,0.25,0.0,0.57,0.5,0.65,0.18,0.64,0.53,0.42
rockbox.csv,0.21,0.4,0.0,0.93,0.05,0.59,0.66,0.0,0.14,0.25,0.56,0.15,0.09,0.2,0.85
roller.csv,0.36,0.3,0.0,0.17,0.42,0.5,0.13,0.0,0.75,0.51,0.27,0.0,0.0,0.46,0.55
theresa.csv,0.21,0.63,0.34,0.94,0.33,0.71,0.44,0.0,0.5,0.1,0.2,0.51,0.29,0.54,0.37
tzod.csv,0.3,0.64,0.68,0.38,0.57,0.65,0.09,0.0,0.6,0.24,0.2,0.44,0.41,0.41,0.25
xinity.csv,0.56,0.46,0.0,0.0,0.43,0.5,0.33,0.82,0.4,0.52,0.52,0.48,0.0,0.81,0.32
zabbix.csv,0.48,0.64,0.69,0.91,0.62,0.46,0.33,0.0,0.58,0.48,0.35,0.35,0.58,0.51,0.56
