,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.23,0.16,0.51,0.18,0.39,0.27,1.0,0.28,0.48,0.41,0.58,0.31,0.69
bscwweasel.csv,0.02,0.0,0.27,0.92,0.3,0.1,0.07,0.07,0.08,0.12,0.06,0.14,0.2
capcode.csv,0.0,0.05,0.12,0.2,0.08,0.91,0.35,0.1,0.16,0.13,0.15,0.18,0.03
emite.csv,0.05,0.11,0.2,0.1,0.34,0.0,0.4,0.1,0.26,0.15,0.98,0.33,0.15
geogebra.csv,0.15,0.32,0.37,0.19,0.33,0.23,0.25,0.33,0.46,0.38,0.4,0.96,0.56
hibernate.csv,0.18,0.18,0.4,0.2,0.42,0.18,0.1,0.28,0.2,0.98,0.2,0.37,0.51
lamp.csv,0.02,0.89,0.23,0.17,0.42,0.27,0.14,0.04,0.32,0.16,0.0,0.35,0.04
nodal.csv,0.02,0.1,0.37,0.27,0.46,0.22,0.12,0.26,0.96,0.27,0.15,0.5,0.3
retromenu.csv,0.02,0.19,0.34,0.15,0.92,0.07,0.05,0.07,0.21,0.19,0.0,0.35,0.07
smbopensoft.csv,0.96,0.19,0.44,0.24,0.44,0.2,0.75,0.37,0.36,0.43,0.45,0.38,0.56
stuproa-cims.csv,0.65,0.25,0.31,0.19,0.41,0.25,0.82,0.97,0.4,0.43,0.5,0.35,0.81
thout.csv,0.19,0.18,0.93,0.11,0.39,0.22,0.52,0.29,0.44,0.34,0.44,0.35,0.2
uface.csv,0.66,0.15,0.38,0.32,0.49,0.22,0.82,0.4,0.39,0.44,0.63,0.31,1.0
