,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.1,0.53,0.3,0.58,0.44,0.65,0.0,0.54,0.63,0.63,0.8,0.56,0.48
bscwweasel.csv,0.0,0.06,0.01,0.0,0.04,0.11,0.08,0.01,0.0,0.03,0.05,0.03,0.0
capcode.csv,0.0,0.19,0.25,0.11,0.07,0.0,0.26,0.13,0.17,0.05,0.15,0.31,0.15
emite.csv,0.11,0.16,0.2,0.12,0.29,0.06,0.1,0.13,0.06,0.1,0.0,0.08,0.11
geogebra.csv,0.03,0.33,0.14,0.8,0.64,0.69,0.21,0.87,0.27,0.79,0.42,0.01,0.8
hibernate.csv,0.02,0.12,0.31,0.69,0.38,0.27,0.0,0.09,0.37,0.0,0.12,0.21,0.09
lamp.csv,0.0,0.01,0.01,0.01,0.11,0.1,0.0,0.0,0.05,0.03,0.0,0.04,0.02
nodal.csv,0.0,0.33,0.14,0.13,0.13,0.28,0.0,0.12,0.02,0.13,0.12,0.14,0.13
retromenu.csv,0.0,0.04,0.06,0.03,0.0,0.21,0.03,0.01,0.03,0.04,0.0,0.06,0.02
smbopensoft.csv,0.05,0.7,0.37,0.44,0.56,0.59,0.59,0.57,0.51,0.42,0.5,0.52,0.26
stuproa-cims.csv,0.98,0.55,0.75,0.53,0.91,0.83,0.87,0.0,0.92,0.57,0.88,0.87,0.56
thout.csv,0.28,0.36,0.01,0.58,0.53,0.65,0.31,0.31,0.32,0.65,0.62,0.33,0.54
uface.csv,0.99,0.84,0.85,0.53,0.91,0.73,0.97,0.79,0.89,0.63,0.52,0.81,0.0
