,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,xcmetadataservicestoolkit.csv,arm-webradio.csv,gisgraphy.csv
arm-webradio.csv,0.55,0.31,0.62,0.34,0.0,0.23,0.29,0.47,0.45,1.0,0.41
crisscross.csv,0.26,0.15,1.0,0.23,0.0,0.09,0.31,0.16,0.18,0.8,0.09
cubefs.csv,0.47,0.77,0.86,0.54,1.0,0.41,0.54,1.0,0.6,0.71,0.23
gisgraphy.csv,0.25,0.08,0.48,0.26,1.0,0.1,0.62,0.43,0.25,0.0,1.0
iaml.csv,0.51,0.46,0.71,0.47,0.33,0.41,0.98,0.22,0.45,0.94,0.68
ivataopenportal.csv,0.62,0.38,0.33,0.54,0.33,1.0,0.49,0.75,0.55,0.69,0.59
mb-unit.csv,0.82,0.38,0.67,1.0,1.0,0.8,0.52,0.74,0.82,0.49,0.55
mvdsv.csv,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nova.csv,0.43,0.92,0.81,0.54,0.0,0.44,0.4,0.84,0.45,0.91,0.55
openwbem.csv,0.94,0.92,0.67,0.87,1.0,0.59,0.7,0.79,0.57,0.97,0.91
xcmetadataservicestoolkit.csv,0.56,0.46,0.62,0.58,1.0,0.5,0.59,0.39,0.98,0.49,0.41
