,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,xcmetadataservicestoolkit.csv,arm-webradio.csv,gisgraphy.csv
arm-webradio.csv,0.48,0.83,0.55,0.53,0.76,0.78,0.84,0.48,0.52,0.69,0.46
crisscross.csv,0.82,0.96,0.86,0.87,0.5,0.94,0.96,0.92,0.88,0.67,0.85
cubefs.csv,0.6,0.38,0.46,0.51,0.38,0.57,0.5,0.49,0.41,0.46,0.71
gisgraphy.csv,0.83,0.94,0.65,0.86,0.78,0.93,0.63,0.7,0.75,0.89,0.73
iaml.csv,0.52,0.53,0.54,0.48,0.48,0.61,0.58,0.92,0.54,0.61,0.46
ivataopenportal.csv,0.58,0.59,0.85,0.53,0.48,0.57,0.66,0.48,0.56,0.63,0.41
mb-unit.csv,0.5,0.75,0.49,0.45,0.29,0.42,0.47,0.53,0.38,0.54,0.34
mvdsv.csv,0.75,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0
nova.csv,0.63,0.75,0.55,0.58,0.69,0.74,0.73,0.46,0.46,0.77,0.53
openwbem.csv,0.64,0.43,0.6,0.47,0.4,0.59,0.55,0.5,0.55,0.61,0.38
xcmetadataservicestoolkit.csv,0.51,0.53,0.57,0.49,0.43,0.52,0.45,0.86,0.41,0.56,0.48
