,umber.csv,openwbem.csv,wpdev.csv,orc.csv,vienna-add-in.csv,ivataopenportal.csv,plato.csv,onotoa.csv,yarp0.csv,rodin-b-sharp.csv,lcfizvtop.csv,elynx.csv,tycho.csv,xcmetadataservicestoolkit.csv,lite.csv,fityk.csv,codesmith.csv,ta3d.csv,jfreechart.csv
codesmith.csv,0.27,0.35,0.98,0.09,0.75,0.66,0.93,0.79,0.27,0.34,0.21,0.0,0.52,0.68,0.38,0.6,0.83,0.64,0.0
fityk.csv,0.28,0.37,1.0,0.13,0.6,0.49,0.89,0.83,0.4,0.26,0.2,0.02,0.62,0.71,0.26,0.78,0.57,0.78,0.01
ivataopenportal.csv,0.28,0.4,0.99,0.09,0.68,0.74,0.85,0.81,0.33,0.34,0.23,0.0,0.56,0.72,0.28,0.63,0.75,0.71,0.01
lcfizvtop.csv,0.52,0.38,1.0,0.09,0.62,0.67,0.78,0.82,0.33,0.42,0.47,0.0,0.51,0.86,0.32,0.58,0.7,0.69,0.01
lite.csv,0.68,0.31,0.98,0.16,0.6,0.52,0.83,0.78,0.33,0.44,0.15,0.02,0.58,0.85,0.5,0.65,0.58,0.7,0.02
onotoa.csv,0.16,0.32,0.99,0.06,0.74,0.5,0.88,0.85,0.24,0.34,0.09,0.02,0.57,0.77,0.23,0.6,0.64,0.65,0.01
openwbem.csv,0.34,0.54,1.0,0.11,0.75,0.5,0.85,0.85,0.21,0.26,0.12,0.05,0.77,0.9,0.24,0.75,0.5,0.81,0.01
orc.csv,0.17,0.52,1.0,0.33,0.54,0.7,0.81,0.89,0.56,0.34,0.29,0.0,0.0,0.67,0.36,0.8,0.65,0.0,0.0
plato.csv,0.26,0.36,0.99,0.09,0.67,0.52,0.94,0.81,0.3,0.36,0.19,0.02,0.56,0.73,0.25,0.67,0.66,0.69,0.01
rodin-b-sharp.csv,1.0,0.65,0.96,0.35,0.71,0.57,0.86,0.83,0.36,0.77,0.17,0.0,0.0,0.82,0.0,1.0,0.58,0.56,0.0
ta3d.csv,0.59,0.29,1.0,0.11,0.67,0.42,0.5,1.0,0.0,0.29,1.0,0.0,0.0,0.83,0.2,0.5,0.33,0.77,0.02
tycho.csv,0.1,0.41,0.99,0.15,0.7,0.51,0.94,0.83,0.14,0.26,0.21,0.05,0.8,0.72,0.39,0.73,0.72,0.75,0.02
umber.csv,0.8,0.45,0.98,0.11,0.63,0.56,0.84,0.81,0.36,0.39,0.21,0.02,0.22,0.76,0.27,0.76,0.66,0.66,0.0
vienna-add-in.csv,0.31,0.35,0.98,0.08,0.79,0.52,0.89,0.83,0.33,0.26,0.0,0.03,0.62,0.81,0.27,0.65,0.5,0.67,0.0
wpdev.csv,0.26,0.36,1.0,0.1,0.66,0.51,0.84,0.84,0.3,0.36,0.19,0.02,0.56,0.73,0.28,0.67,0.63,0.68,0.01
xcmetadataservicestoolkit.csv,0.48,0.35,0.99,0.19,0.76,0.51,1.0,0.86,0.17,0.61,0.05,0.02,1.0,0.84,0.38,0.65,0.4,0.7,0.01
yarp0.csv,0.18,0.44,0.99,0.14,0.52,0.58,0.8,0.79,0.5,0.57,0.23,0.0,0.0,0.73,0.53,0.74,0.62,0.68,0.0
