,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,0.73,0.54,0.6,0.84,0.39,0.61,0.6,0.34,0.54,0.41,0.67,0.0,0.48,0.53,0.49,0.7,0.38
encog-cs.csv,0.41,0.55,0.32,0.0,0.31,0.05,0.32,0.36,0.68,0.21,0.26,0.72,0.62,0.55,0.52,0.48,0.55
extprosys.csv,0.79,0.0,0.6,0.71,0.42,0.57,0.41,0.31,0.3,0.0,0.69,0.0,0.37,0.53,0.72,0.53,0.39
ibatisdb.csv,0.0,0.35,0.3,0.22,0.43,0.37,0.22,0.25,0.43,0.44,0.44,0.23,0.37,0.1,0.81,0.23,0.37
intact.csv,0.0,0.0,0.55,0.57,0.63,0.64,0.3,0.5,0.6,0.09,0.75,0.0,0.36,0.62,0.56,0.5,0.3
japano.csv,0.0,0.0,0.57,0.27,0.55,0.47,0.0,0.72,0.35,0.45,0.23,0.69,0.27,0.32,0.5,0.26,0.66
lockss.csv,0.95,0.32,0.11,0.02,0.36,0.16,0.31,0.38,0.25,0.65,0.66,0.09,0.38,0.37,0.35,0.33,0.19
ofbiz.csv,0.0,0.6,0.17,0.43,0.41,0.5,0.52,0.48,0.58,0.17,0.61,0.59,0.68,0.73,0.41,0.54,0.54
officefloor.csv,0.8,0.26,0.22,0.5,0.25,0.24,0.04,0.46,0.45,0.27,0.65,0.53,0.0,0.3,0.58,0.36,0.47
opennms.csv,0.0,0.33,0.1,0.19,0.63,0.24,0.54,0.26,0.36,0.45,0.39,0.15,0.64,0.51,0.32,0.32,0.13
papertoolkit.csv,0.0,0.24,0.27,0.33,0.13,0.34,0.1,0.29,0.37,0.27,0.49,0.27,0.97,0.31,0.1,0.44,0.3
rohxel.csv,0.82,0.28,0.56,0.19,0.24,0.31,0.7,0.51,0.25,0.27,0.43,0.55,0.0,0.19,0.22,0.22,0.0
sevenupdate.csv,0.05,0.77,0.0,0.0,0.23,0.0,0.0,0.0,0.24,0.5,0.05,0.0,0.51,0.24,0.0,0.35,0.0
web-cat.csv,0.75,0.5,0.49,0.55,0.5,0.62,0.32,0.37,0.54,0.43,0.63,0.0,0.65,0.63,0.73,0.57,0.8
xcf.csv,0.0,0.44,0.56,0.59,0.54,0.53,0.58,0.51,0.64,0.48,0.62,0.0,0.7,0.53,0.67,0.79,0.57
