,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,open-ms.csv,tango-cs.csv,geochat.csv
decidr.csv,0.59,0.48,0.5,0.44,0.63,0.48,0.46,0.33,0.35,0.44,0.62,0.53,0.51,0.44,0.61,0.48,0.67,0.5
doomlegacy.csv,0.5,0.75,0.44,0.56,0.52,0.61,0.63,0.87,0.61,0.82,0.68,0.63,0.4,0.5,0.49,0.59,0.57,0.71
elmo.csv,0.8,0.8,0.0,0.91,0.83,0.75,0.98,0.5,0.5,0.0,0.5,0.9,0.5,0.0,0.0,0.94,0.83,0.9
geochat.csv,0.96,0.89,0.97,0.86,0.63,0.86,0.83,0.53,0.61,0.4,0.88,0.75,0.38,0.94,0.93,0.86,0.45,0.85
gpac.csv,0.6,0.55,0.68,0.64,0.67,0.59,0.6,0.49,0.73,0.46,0.59,0.54,0.49,0.58,0.71,0.71,0.95,0.56
illumination.csv,0.94,0.37,0.96,0.69,0.93,0.95,0.99,0.41,0.36,0.0,0.97,0.97,0.71,0.92,0.0,0.99,0.43,0.56
ktc.csv,0.49,0.67,0.51,0.92,0.62,0.56,0.59,0.57,0.48,0.72,0.68,0.69,0.48,0.72,0.77,0.72,0.43,0.8
neoengine.csv,0.43,0.5,0.59,0.38,0.52,0.45,0.55,0.35,0.44,0.42,0.51,0.5,0.39,0.43,0.44,0.49,0.42,0.48
nicepress.csv,0.68,0.94,0.67,0.5,0.61,0.58,0.98,0.76,0.67,0.89,0.77,0.95,0.56,0.95,0.78,0.97,0.38,0.83
omseek.csv,0.73,0.0,0.94,0.92,0.98,0.86,0.76,0.9,0.97,0.63,0.86,0.97,0.92,0.93,0.5,0.74,0.48,0.7
open-ms.csv,0.7,0.68,0.81,0.57,0.98,0.77,0.98,0.92,0.99,0.4,0.86,0.67,0.63,0.94,0.96,0.91,0.41,0.65
pi-qmc.csv,0.52,0.56,0.5,0.65,0.61,0.64,0.68,0.43,0.81,0.53,0.59,0.62,0.64,0.65,0.57,0.66,0.47,0.89
rosegarden.csv,0.56,0.93,0.58,0.63,0.66,0.65,0.99,0.74,0.9,0.6,0.62,0.79,0.59,0.8,0.8,0.69,0.64,0.66
smarttag.csv,0.73,0.55,0.79,0.72,0.71,0.95,0.66,0.32,0.58,0.83,0.67,0.83,0.95,0.61,0.88,0.76,0.68,0.61
sylpheed-claws.csv,0.45,0.42,0.51,0.64,0.53,0.61,0.49,0.57,0.5,0.62,0.56,0.62,0.47,0.45,0.77,0.54,0.39,0.57
tango-cs.csv,0.5,0.96,0.51,0.7,0.67,0.53,0.77,0.9,0.82,0.62,0.51,0.65,0.6,0.71,0.54,0.52,0.59,0.84
xemeiah.csv,0.43,0.58,0.41,0.64,0.5,0.51,0.57,0.46,0.41,0.71,0.56,0.49,0.35,0.56,0.55,0.48,0.32,0.63
zscreen.csv,0.43,0.38,0.52,0.46,0.6,0.45,0.43,0.34,0.5,0.42,0.53,0.56,0.57,0.51,0.67,0.56,0.38,0.48
