,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,open-ms.csv,tango-cs.csv,geochat.csv
decidr.csv,0.29,0.4,0.4,0.37,0.38,0.38,0.0,0.83,0.51,0.46,0.35,0.39,0.35,0.48,0.3,0.52,0.41,0.43
doomlegacy.csv,0.52,0.18,0.63,0.59,0.42,0.26,0.35,0.26,0.38,0.15,0.45,0.57,0.0,0.46,0.55,0.44,0.33,0.24
elmo.csv,0.02,0.0,0.0,0.19,0.02,0.04,0.1,0.02,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.05,0.0,0.09
geochat.csv,0.26,0.1,0.29,0.04,0.31,0.16,0.19,0.49,0.31,1.0,0.18,0.24,0.65,0.2,0.14,0.26,0.59,0.0
gpac.csv,0.24,0.3,0.17,0.15,0.22,0.35,0.19,0.02,0.24,0.64,0.41,0.29,0.31,0.38,0.09,0.29,0.22,0.32
illumination.csv,0.07,0.55,0.05,0.44,0.04,0.26,0.14,0.66,0.4,0.0,0.24,0.14,0.35,0.0,0.0,0.15,0.42,0.55
ktc.csv,0.01,0.04,0.2,0.11,0.13,0.17,0.35,0.21,0.19,0.41,0.08,0.17,0.19,0.18,0.07,0.16,0.51,0.2
neoengine.csv,0.73,1.0,0.0,1.0,0.51,0.91,0.23,0.89,0.95,0.67,0.71,0.81,0.88,0.74,0.93,0.68,0.45,0.63
nicepress.csv,0.09,0.51,0.11,0.0,0.19,0.01,0.1,0.28,0.62,0.23,0.15,0.13,0.19,0.23,0.05,0.16,0.49,0.02
omseek.csv,0.15,0.01,0.02,0.22,0.16,0.09,0.2,0.15,0.21,0.49,0.33,0.0,0.12,0.2,0.04,0.36,0.62,0.5
open-ms.csv,0.32,0.69,0.54,0.74,0.12,0.3,0.12,0.13,0.39,1.0,0.45,0.57,0.62,0.26,0.38,0.0,0.58,0.45
pi-qmc.csv,0.28,0.91,0.37,0.11,0.25,0.16,0.21,0.68,0.48,0.31,0.36,0.32,0.23,0.37,0.0,0.23,0.48,0.21
rosegarden.csv,0.13,0.19,0.18,0.67,0.0,0.45,0.09,0.3,0.16,0.38,0.32,0.15,0.31,0.08,0.05,0.22,0.23,0.45
smarttag.csv,0.44,0.9,0.2,0.22,0.41,0.17,0.19,1.0,0.74,0.0,0.56,0.29,0.15,0.37,0.09,0.31,0.26,0.29
sylpheed-claws.csv,0.29,0.37,0.32,0.15,0.3,0.22,0.35,0.38,0.0,0.28,0.26,0.27,0.42,0.37,0.11,0.4,0.54,0.31
tango-cs.csv,0.38,0.33,0.43,0.33,0.3,0.59,0.16,0.26,0.39,0.41,0.58,0.43,0.35,0.37,0.21,0.44,0.03,0.28
xemeiah.csv,0.24,0.16,0.28,0.04,0.2,0.29,0.17,0.34,0.28,0.36,0.03,0.27,0.27,0.29,0.14,0.4,0.62,0.26
zscreen.csv,0.39,0.51,0.48,0.07,0.38,0.38,0.71,0.83,0.28,0.82,0.5,0.54,0.23,0.46,0.11,0.47,0.54,0.61
