,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.32,0.52,0.47,0.4,0.61,0.54,0.96,0.75,0.63,0.53,0.49,0.74,0.54,0.29
emeraldemu.csv,0.47,0.52,0.71,0.29,0.95,0.25,0.55,0.26,0.46,0.3,0.25,0.23,0.25,0.25
frogatto.csv,0.69,0.74,0.73,0.5,0.62,0.55,0.61,0.62,0.65,0.77,0.56,0.98,0.61,0.29
grafx2.csv,0.57,0.7,0.76,0.63,0.57,0.54,0.63,0.58,0.72,0.98,0.7,0.56,0.71,0.63
jahshakafx.csv,0.98,0.51,0.15,0.25,0.4,0.25,0.43,0.26,0.47,0.4,0.28,0.33,0.48,0.2
nassp.csv,0.52,0.21,0.43,0.46,0.52,0.16,0.44,0.7,0.86,0.42,0.46,0.6,0.41,0.29
netatalk.csv,0.63,0.7,0.54,0.35,0.61,0.44,0.41,0.56,0.61,0.38,0.54,0.49,1.0,0.29
open-beos.csv,0.52,0.71,0.5,0.62,0.67,0.97,0.35,0.54,0.71,0.56,0.67,0.72,0.29,0.51
psycle.csv,0.76,0.56,0.6,0.98,0.65,0.68,0.57,0.58,0.47,0.74,0.62,0.71,0.64,0.54
quantlib.csv,0.12,0.46,0.64,0.35,0.6,0.24,0.54,0.45,0.58,0.19,0.59,0.41,0.0,0.97
reaper-ecad.csv,0.41,0.36,0.97,0.41,0.43,0.18,0.55,0.09,0.46,0.11,0.38,0.36,0.58,0.25
sbml.csv,0.73,0.71,0.57,0.66,0.71,0.65,0.51,0.71,0.75,0.44,0.99,0.68,0.5,0.62
unimrcp.csv,0.54,0.49,0.25,0.36,0.46,0.3,0.49,0.97,0.46,0.32,0.21,0.55,0.34,0.2
unladen-swallow.csv,0.33,0.66,0.05,0.45,0.11,0.13,0.39,0.39,0.67,0.33,0.48,0.45,0.44,0.61
