,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.76,0.72,0.12,0.62,0.69,0.76,0.88,0.39,0.5,0.7,0.82,0.66,0.72,0.76
autowikibrowser.csv,0.83,0.64,0.36,0.81,0.83,0.76,0.71,0.64,0.64,0.58,0.64,0.7,0.83,0.59
cities3d.csv,0.38,0.04,0.12,0.61,0.27,0.7,0.01,0.36,0.0,0.22,0.23,0.45,0.04,0.02
kmatplot.csv,0.83,0.12,0.91,0.73,0.39,0.78,0.26,0.34,0.0,0.35,0.73,0.43,0.09,0.41
libarchive.csv,0.83,1.0,0.79,0.82,0.83,1.0,0.87,0.71,1.0,0.52,0.73,0.8,0.85,0.61
lphant.csv,0.66,0.84,0.58,0.62,0.72,0.68,0.67,0.61,0.5,0.54,0.64,0.82,0.64,0.61
mob-sen-plat.csv,0.76,0.76,0.82,0.83,0.69,0.62,0.63,0.77,0.5,0.81,0.68,0.36,0.45,0.57
mscore.csv,0.9,0.92,0.94,0.92,0.95,0.65,0.72,0.68,0.86,0.9,0.77,0.75,0.7,0.78
pidgin.csv,0.69,0.76,0.48,0.7,0.72,0.68,0.72,0.65,0.79,0.75,0.64,0.5,0.45,0.65
quickfast.csv,0.52,0.76,0.85,0.43,0.45,0.76,0.93,0.82,0.93,0.46,0.95,0.91,0.74,0.86
raygina.csv,0.66,0.72,0.0,0.35,0.31,0.51,0.53,0.67,0.21,0.48,0.91,0.82,0.38,1.0
riff-evolve.csv,0.72,0.44,0.09,0.68,0.62,0.73,0.6,0.41,0.29,0.67,0.68,0.59,0.6,0.37
upp-mirror.csv,0.48,0.4,0.24,0.53,0.72,0.14,0.34,0.55,0.21,0.45,0.23,0.48,0.45,0.24
wishmaster.csv,0.48,0.28,0.09,0.48,0.56,0.59,0.19,0.52,0.79,0.27,0.45,0.39,0.45,0.1
