,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.0,0.34,0.33,0.34,0.13,0.76,0.56,0.7,0.63,0.6,0.0
aztec.csv,0.24,0.82,0.38,0.65,0.7,0.55,0.41,0.12,0.05,0.77,0.45
bl-toolkit.csv,0.76,0.27,0.37,0.0,0.56,0.2,0.09,0.52,0.24,0.66,0.0
clamav.csv,0.28,0.4,0.27,0.72,0.64,0.65,0.16,0.63,0.61,0.28,0.57
fm-classic.csv,0.1,0.0,0.98,0.0,0.04,0.35,0.28,0.0,0.05,0.16,0.11
kml.csv,0.69,0.68,0.36,0.6,0.77,0.68,0.59,0.61,0.7,0.46,0.0
lufa-lib.csv,0.62,0.69,0.36,0.6,0.6,0.52,0.71,0.5,0.53,0.75,0.34
mplayer-ce.csv,0.67,0.4,0.27,0.24,0.68,0.63,0.3,0.63,0.66,0.75,0.56
qmmp.csv,0.64,0.6,0.85,0.62,0.69,0.48,0.61,0.68,0.51,0.7,0.35
xapian.csv,0.51,0.34,0.05,0.24,0.46,0.72,0.56,0.52,0.65,0.32,0.57
xtreemfs.csv,0.68,0.57,0.37,0.24,0.63,0.46,0.4,0.48,0.62,0.85,0.0
