,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.5,0.39,0.19,0.71,0.61,0.32,0.31,0.54,0.45,0.51
arsenal-1.csv,0.75,0.13,0.69,0.0,0.13,0.14,0.13,0.0,0.25,0.16
barracudamvc.csv,0.83,0.6,0.62,0.57,0.43,0.9,0.54,0.41,0.86,0.81
irplus.csv,0.8,0.53,0.32,0.62,0.54,0.46,0.6,0.59,0.76,0.61
lite.csv,0.73,0.32,0.62,0.29,0.44,0.3,0.36,0.6,0.46,0.54
mumble.csv,0.73,0.59,0.44,0.19,0.71,0.86,0.39,0.38,0.4,0.79
ontopia.csv,0.23,0.52,0.39,0.44,0.5,0.87,0.33,0.39,0.83,0.79
openintents.csv,0.45,0.63,0.63,0.63,0.22,0.54,0.52,0.48,0.67,0.66
ta3d.csv,0.42,0.2,0.53,0.09,0.13,0.39,0.31,0.19,0.13,0.7
tweetsharp.csv,0.5,0.44,0.63,0.56,0.49,0.61,0.41,0.37,0.82,0.58
