,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.53,0.43,0.75,0.38,0.5,0.72,0.71,0.35,0.4,0.35
arsenal-1.csv,0.35,0.86,0.46,0.0,0.8,0.89,0.8,0.0,0.83,0.67
barracudamvc.csv,0.41,0.3,0.39,0.33,0.39,0.35,0.33,0.36,0.39,0.41
irplus.csv,0.31,0.3,0.7,0.42,0.37,0.48,0.43,0.45,0.3,0.33
lite.csv,0.37,0.44,0.37,0.83,0.59,0.88,0.71,0.48,0.57,0.65
mumble.csv,0.41,0.29,0.46,0.89,0.47,0.38,0.39,0.48,0.61,0.36
ontopia.csv,0.95,0.33,0.47,0.42,0.38,0.43,0.57,0.33,0.42,0.39
openintents.csv,0.56,0.44,0.33,0.29,0.6,0.5,0.37,0.33,0.54,0.6
ta3d.csv,0.68,0.86,0.4,0.0,0.83,0.58,0.86,0.83,0.75,0.35
tweetsharp.csv,0.77,0.59,0.43,0.38,0.48,0.75,0.59,0.36,0.47,0.56
