,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.2,0.42,0.03,0.35,0.14,0.21,0.18,0.37,0.4,0.38
arsenal-1.csv,0.95,0.15,0.29,0.03,0.05,0.21,0.07,0.0,0.0,0.0
barracudamvc.csv,0.35,0.85,0.94,1.0,1.0,0.79,0.95,0.95,0.93,1.0
irplus.csv,0.65,0.64,0.13,0.35,0.45,0.57,0.27,0.39,0.6,0.38
lite.csv,0.9,0.58,0.58,0.06,0.26,0.21,0.16,0.32,0.07,0.19
mumble.csv,0.45,0.91,0.74,0.19,0.2,0.43,0.73,0.46,0.4,0.5
ontopia.csv,0.25,0.76,0.32,0.68,0.72,0.29,0.48,0.83,0.87,0.88
openintents.csv,0.4,0.3,0.87,0.77,0.74,0.43,0.73,0.71,0.87,0.75
ta3d.csv,0.4,0.12,0.84,0.0,0.06,0.43,0.05,0.1,0.07,0.5
tweetsharp.csv,0.3,0.36,0.81,0.77,0.42,0.14,0.5,0.93,0.27,0.56
