,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.17,0.38,0.55,0.79
k3b.csv,0.27,0.81,0.49,0.74
mp-rechnungs-und-kundenverwaltung.csv,0.1,0.41,0.52,0.34
thrust.csv,0.57,0.42,0.16,0.35
