,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.15,0.28,0.71,0.73
k3b.csv,0.38,0.74,0.51,0.62
mp-rechnungs-und-kundenverwaltung.csv,0.07,0.3,0.61,0.27
thrust.csv,0.74,0.34,0.13,0.29
