,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.09,0.08,0.59,0.45
k3b.csv,0.45,0.17,0.81,0.68
mp-rechnungs-und-kundenverwaltung.csv,0.06,0.04,0.32,0.18
thrust.csv,0.34,0.42,0.12,0.55
