,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.83,0.88,0.42,0.38
k3b.csv,0.59,0.41,0.37,0.32
mp-rechnungs-und-kundenverwaltung.csv,0.75,0.56,0.46,0.64
thrust.csv,0.66,0.89,0.94,0.88
