,ifmo-game-1.csv,voms.csv,fm-classic.csv,foursquared.csv,micomt.csv,xpontus.csv
fm-classic.csv,0.0,0.03,0.01,0.0,0.0,0.0
foursquared.csv,0.05,0.06,0.04,0.0,0.0,0.27
ifmo-game-1.csv,0.0,0.09,0.01,0.22,0.53,0.04
micomt.csv,0.22,0.33,0.26,0.85,0.02,0.56
voms.csv,0.13,0.0,0.15,0.11,0.0,0.24
