,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.18,0.11,0.13,0.99,0.24,0.14,0.0,0.56,0.09,0.07
arsenal-1.csv,0.45,0.25,0.94,0.49,0.73,0.24,0.4,0.37,0.31,0.24
barracudamvc.csv,0.99,0.33,0.0,0.13,0.0,0.63,0.2,0.0,0.0,0.24
irplus.csv,0.54,0.55,0.47,0.63,0.51,0.33,0.87,0.5,0.63,0.49
lite.csv,0.12,0.2,0.09,0.27,0.19,0.14,0.32,0.94,0.12,0.11
mumble.csv,0.47,0.64,0.5,0.47,0.93,0.43,0.73,0.61,0.14,0.3
ontopia.csv,0.18,0.72,0.42,0.52,0.64,0.99,0.54,0.24,0.38,0.58
openintents.csv,0.41,1.0,0.34,0.57,0.58,0.55,0.66,0.5,0.35,0.51
ta3d.csv,0.53,0.38,0.55,0.64,0.56,0.49,0.52,0.53,0.64,0.98
tweetsharp.csv,0.37,0.3,0.52,0.52,0.4,0.26,0.36,0.61,0.98,0.52
