,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.2,0.06,0.03,0.03,0.03,0.29,0.11,0.27,0.07,0.0
arsenal-1.csv,0.5,0.42,0.0,0.29,0.45,0.43,0.3,0.27,0.53,0.12
barracudamvc.csv,0.05,0.91,1.0,0.97,1.0,0.57,0.95,1.0,1.0,0.94
irplus.csv,0.7,0.52,0.84,0.39,0.31,0.5,0.0,0.37,0.4,0.5
lite.csv,0.1,0.09,0.03,0.06,0.15,0.21,0.09,0.0,0.13,0.06
mumble.csv,0.4,0.52,0.39,0.61,0.0,0.29,0.45,0.56,0.27,0.31
ontopia.csv,0.3,0.36,0.65,0.77,0.69,0.07,0.66,0.15,0.73,0.62
openintents.csv,0.4,0.0,0.26,0.48,0.35,0.57,0.25,0.32,0.53,0.5
ta3d.csv,0.75,0.88,0.48,0.58,0.75,0.79,0.8,0.46,0.53,0.0
tweetsharp.csv,0.35,0.24,0.65,0.65,0.85,0.21,0.27,0.63,0.0,0.44
