,pclasses.csv,olap-navigator.csv,re2c.csv,tzod.csv,wxcrp.csv,atlc.csv,konversation.csv,co-ode-owl-plugins.csv,etherboot.csv,boost-sandbox.csv,plato.csv,freebios.csv,clamav.csv,miranda-icq.csv,jasperreports.csv,frogatto.csv,rebecca-aiml.csv,glelite.csv
atlc.csv,0.58,0.57,0.45,0.69,0.68,0.98,0.68,0.42,0.59,0.56,0.56,0.49,0.73,0.6,0.65,0.67,0.72,0.69
boost-sandbox.csv,0.59,0.47,0.53,0.56,0.62,0.2,0.67,0.61,0.52,1.0,0.45,0.15,0.18,0.33,0.6,0.6,0.64,0.49
clamav.csv,0.4,0.04,0.53,0.48,0.51,0.12,0.71,0.07,0.4,0.0,0.28,0.19,0.92,0.54,0.05,0.37,0.35,0.46
co-ode-owl-plugins.csv,0.11,0.19,0.2,0.18,0.43,0.38,0.55,0.95,0.31,0.2,0.12,0.55,0.35,0.41,0.46,0.4,0.36,0.33
etherboot.csv,0.11,0.4,0.55,0.34,0.66,0.48,0.71,0.07,0.96,0.27,0.41,0.33,0.47,0.41,0.36,0.29,0.28,0.29
freebios.csv,0.47,0.57,0.67,0.52,0.69,0.31,0.71,0.4,0.45,0.39,0.49,1.0,0.57,0.52,0.87,0.38,0.79,0.48
frogatto.csv,0.21,0.46,0.36,0.59,0.62,0.58,0.86,0.26,0.27,0.32,0.31,0.17,0.49,0.54,0.87,0.98,0.51,0.42
glelite.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
jasperreports.csv,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.05,0.0,0.0,0.97,0.0,0.0,0.0
konversation.csv,0.11,0.43,0.2,0.05,0.34,0.09,0.93,0.07,0.31,0.07,0.23,0.0,0.0,0.0,0.31,0.17,0.07,0.11
miranda-icq.csv,0.41,0.34,0.55,0.3,0.3,0.18,0.2,0.13,0.39,0.51,0.3,0.37,0.18,0.93,0.67,0.07,0.11,0.28
olap-navigator.csv,0.49,0.98,0.2,0.37,0.56,0.26,0.67,0.69,0.39,0.53,0.48,0.26,0.0,0.35,0.84,0.57,0.47,0.31
pclasses.csv,0.93,0.34,0.0,0.45,0.6,0.0,0.54,0.25,0.21,0.07,0.58,0.0,0.12,0.0,0.34,0.26,0.3,0.27
plato.csv,0.61,0.71,0.7,0.36,0.55,0.0,0.57,0.71,0.64,0.52,1.0,0.02,0.0,0.07,0.7,0.66,0.25,0.57
re2c.csv,0.45,0.48,1.0,0.51,0.48,0.42,0.74,0.3,0.4,0.36,0.56,0.73,0.57,0.57,0.47,0.49,0.72,0.32
rebecca-aiml.csv,0.31,0.48,0.54,0.33,0.51,0.56,0.69,0.54,0.45,0.49,0.52,0.73,0.39,0.5,0.52,0.51,1.0,0.44
tzod.csv,0.22,0.41,0.55,0.94,0.56,0.55,0.61,0.52,0.21,0.19,0.43,0.32,0.39,0.51,0.55,0.63,0.46,0.39
wxcrp.csv,0.0,0.57,0.0,0.13,0.95,0.47,0.47,0.34,0.06,0.07,0.35,0.02,0.29,0.2,0.61,0.23,0.35,0.15
