,pclasses.csv,olap-navigator.csv,re2c.csv,tzod.csv,wxcrp.csv,atlc.csv,konversation.csv,co-ode-owl-plugins.csv,etherboot.csv,boost-sandbox.csv,plato.csv,freebios.csv,clamav.csv,miranda-icq.csv,jasperreports.csv,frogatto.csv,rebecca-aiml.csv,glelite.csv
atlc.csv,0.59,0.67,0.69,0.52,0.59,0.03,0.6,0.83,0.7,0.67,0.75,0.57,0.58,0.69,0.73,0.39,0.45,0.0
boost-sandbox.csv,0.54,0.33,0.71,0.62,0.68,0.14,0.53,0.39,0.79,0.0,0.12,0.04,0.03,0.23,0.47,0.52,0.45,0.67
clamav.csv,0.3,0.11,0.31,0.25,0.33,0.0,0.43,0.08,0.21,0.0,0.12,0.14,0.0,0.47,0.09,0.27,0.17,0.0
co-ode-owl-plugins.csv,0.07,0.04,0.37,0.21,0.2,0.31,0.09,0.0,0.33,0.21,0.0,0.37,0.11,0.35,0.21,0.24,0.08,0.0
etherboot.csv,0.2,0.56,0.06,0.23,0.41,0.62,0.41,0.4,0.0,0.28,0.38,0.16,0.42,0.39,0.13,0.21,0.05,0.0
freebios.csv,0.46,0.63,0.33,0.65,0.47,0.34,0.42,0.54,0.54,0.46,0.75,0.0,0.53,0.77,0.36,0.88,0.18,0.33
frogatto.csv,0.21,0.11,0.37,0.21,0.35,0.17,0.33,0.25,0.3,0.15,0.75,0.14,0.25,0.74,0.3,0.0,0.11,0.0
glelite.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
jasperreports.csv,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.08,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
konversation.csv,0.43,0.22,0.0,0.0,0.07,0.03,0.0,0.03,0.18,0.08,0.12,0.04,0.03,0.02,0.17,0.15,0.25,0.0
miranda-icq.csv,0.14,0.15,0.14,0.23,0.2,0.07,0.23,0.21,0.43,0.28,0.88,0.25,0.03,0.01,0.26,0.12,0.25,0.0
olap-navigator.csv,0.29,0.0,0.18,0.35,0.41,0.0,0.34,0.39,0.38,0.31,0.5,0.25,0.0,0.17,0.49,0.21,0.27,0.67
pclasses.csv,0.0,0.26,0.16,0.21,0.32,0.0,0.22,0.35,0.11,0.13,0.38,0.0,0.08,0.01,0.4,0.21,0.21,0.0
plato.csv,0.5,0.41,0.16,0.4,0.61,0.0,0.79,0.54,0.57,0.56,0.0,0.02,0.03,0.04,0.48,0.55,0.36,0.67
re2c.csv,0.55,0.7,0.0,0.52,0.52,0.76,0.28,0.58,0.23,0.26,0.75,0.53,0.61,0.71,0.73,0.76,0.13,0.0
rebecca-aiml.csv,0.2,0.3,0.2,0.5,0.51,0.69,0.23,0.51,0.25,0.46,0.75,0.47,0.33,0.81,0.8,0.24,0.0,0.0
tzod.csv,0.02,0.41,0.14,0.0,0.19,0.72,0.19,0.37,0.21,0.1,0.12,0.47,0.25,0.45,0.41,0.27,0.14,0.0
wxcrp.csv,0.0,0.26,0.04,0.12,0.0,0.59,0.06,0.6,0.11,0.03,0.88,0.0,0.14,0.29,0.43,0.03,0.1,0.0
