,pclasses.csv,olap-navigator.csv,re2c.csv,tzod.csv,wxcrp.csv,atlc.csv,konversation.csv,co-ode-owl-plugins.csv,etherboot.csv,boost-sandbox.csv,plato.csv,freebios.csv,clamav.csv,miranda-icq.csv,jasperreports.csv,frogatto.csv,rebecca-aiml.csv,glelite.csv
atlc.csv,0.64,0.7,0.5,0.78,0.81,0.98,0.83,0.67,0.77,0.68,0.81,0.51,0.9,0.79,1.0,0.69,0.78,0.64
boost-sandbox.csv,0.64,0.44,0.67,0.63,0.81,0.17,0.75,0.61,0.82,1.0,0.4,0.12,0.15,0.29,0.62,0.64,0.67,0.56
clamav.csv,0.36,0.03,0.5,0.44,0.48,0.1,0.75,0.06,0.36,0.0,0.24,0.16,0.9,0.54,0.04,0.33,0.31,0.41
co-ode-owl-plugins.csv,0.09,0.16,0.17,0.15,0.39,0.34,0.5,0.94,0.27,0.17,0.1,0.53,0.3,0.38,0.42,0.36,0.31,0.28
etherboot.csv,0.09,0.39,0.5,0.3,0.68,0.51,0.75,0.06,0.95,0.23,0.38,0.29,0.45,0.38,0.31,0.25,0.24,0.25
freebios.csv,0.45,0.66,0.67,0.59,0.74,0.27,0.75,0.39,0.45,0.37,0.64,1.0,0.6,0.75,0.96,0.81,0.78,0.45
frogatto.csv,0.18,0.41,0.33,0.56,0.61,0.54,0.92,0.22,0.23,0.28,0.33,0.14,0.45,0.73,0.92,0.97,0.46,0.37
glelite.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jasperreports.csv,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.0,0.0,0.96,0.0,0.0,0.0
konversation.csv,0.09,0.39,0.17,0.04,0.29,0.07,0.92,0.06,0.27,0.06,0.19,0.0,0.0,0.0,0.27,0.14,0.06,0.09
miranda-icq.csv,0.36,0.3,0.5,0.26,0.26,0.15,0.17,0.11,0.36,0.47,0.48,0.33,0.15,0.92,0.65,0.06,0.09,0.24
olap-navigator.csv,0.45,0.98,0.17,0.33,0.55,0.22,0.67,0.72,0.36,0.5,0.48,0.22,0.0,0.31,1.0,0.53,0.43,0.3
pclasses.csv,0.91,0.3,0.0,0.41,0.58,0.0,0.5,0.22,0.18,0.06,0.57,0.0,0.1,0.0,0.31,0.22,0.26,0.23
plato.csv,0.64,0.75,0.67,0.33,0.61,0.0,1.0,0.83,0.73,0.54,1.0,0.02,0.0,0.06,0.77,0.75,0.22,0.7
re2c.csv,0.45,0.57,1.0,0.52,0.48,0.51,0.75,0.28,0.36,0.32,0.81,0.84,0.65,0.75,0.58,0.67,0.69,0.27
rebecca-aiml.csv,0.27,0.44,0.5,0.3,0.52,0.71,0.67,0.56,0.41,0.48,0.71,0.8,0.35,0.85,0.85,0.47,1.0,0.39
tzod.csv,0.18,0.38,0.5,0.93,0.52,0.73,0.58,0.5,0.18,0.16,0.38,0.29,0.35,0.5,0.54,0.61,0.41,0.34
wxcrp.csv,0.0,0.54,0.0,0.11,0.94,0.49,0.42,0.33,0.05,0.06,0.69,0.02,0.25,0.17,0.62,0.19,0.3,0.12
