,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.11,0.02,0.25,0.05,0.1,0.36,0.26,0.89,0.09,0.0,0.13
ivatamasks.csv,0.79,0.7,0.88,0.97,0.52,0.5,0.63,0.61,0.56,0.71,0.54
java-gnome.csv,0.89,0.7,0.75,0.72,0.61,0.4,0.37,0.54,0.98,0.26,0.25
orc.csv,0.11,0.0,0.94,0.02,0.37,0.76,0.17,0.11,0.04,0.0,0.23
plato.csv,0.32,0.78,0.62,0.7,0.42,1.0,0.87,0.75,0.37,0.6,0.87
rodin-b-sharp.csv,0.0,0.51,0.31,0.19,0.12,0.17,0.97,0.25,0.82,0.0,0.19
tycho.csv,0.32,0.3,0.56,0.3,0.37,0.1,0.28,0.25,0.05,1.0,0.32
umber.csv,0.95,0.3,0.12,0.47,0.13,0.31,0.47,0.54,0.91,0.17,0.14
unicase.csv,0.74,0.49,0.69,0.67,0.41,0.6,0.63,0.61,0.68,0.2,0.98
vienna-add-in.csv,0.95,0.82,0.94,0.96,1.0,0.57,0.89,0.93,0.95,0.89,0.73
wpdev.csv,1.0,1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,1.0
